,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2013-01-02,34.920000,35.400000,34.100000,35.120000,21.200818,13767900,0.000000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
2013-01-03,35.000000,35.000000,34.160000,34.830000,21.025755,16739300,0.000000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
2013-01-04,34.620000,34.890000,34.250000,34.390800,20.760624,21372100,0.000000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
2013-01-07,34.150000,35.450000,34.150000,34.460000,20.802397,17897100,0.000000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
2013-01-08,34.290000,34.640000,33.360000,33.710000,20.349646,17863300,0.000000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
2013-01-09,33.610000,33.950000,33.610000,33.900000,20.464343,18800400,0.000000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
2013-01-10,33.660000,34.000000,33.330000,34.000000,20.524710,15658100,0.000000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
2013-01-11,33.590000,33.900000,33.350000,33.850000,20.675627,11191500,0.400000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
2013-01-14,34.010000,34.250000,33.800000,34.090000,20.822219,11584900,0.000000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
2013-01-15,33.710000,34.720000,33.710000,34.600000,21.133728,13040200,0.000000,1.000000,ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2025-03-31,334344192000,27366001000,80.54,0.405,0.804,6.38,0.0353,2.35,32.43,0.0731,0.304,0.0834,0.884,57366999000,40739000000,2.35,-0.063,0.084,209.12,4,12,12,0,0,80.54,15.58,5.83,235.45,6.96,26.93,0.491,216.66,159.07,187.13,188.28,1766400000,1762782000,0.104,74.397,2025-08-15,2025-07-15
