,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,54.190000,54.555000,53.920000,54.460000,18.611670,10829000,0.000000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
2010-01-05,54.470000,54.470000,53.750000,54.020000,18.461300,10562100,0.000000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
2010-01-06,53.940000,54.390000,53.850000,54.320000,18.563825,11401400,0.000000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
2010-01-07,54.310000,54.780000,54.070000,54.770000,18.717612,12857200,0.000000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
2010-01-08,54.760000,55.250000,54.680000,55.050000,18.813302,12148600,0.000000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
2010-01-11,55.300000,55.480000,55.070000,55.330000,18.908991,10947200,0.000000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
2010-01-12,55.200000,55.550000,55.030000,55.170000,18.854312,10939300,0.000000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
2010-01-13,54.860000,55.540000,54.850000,55.290000,19.032021,10538900,0.400000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
2010-01-14,55.220000,55.620000,55.000000,55.350000,19.052675,8982400,0.000000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
2010-01-15,55.360000,55.570000,55.160000,55.490000,19.100866,16132500,0.000000,1.000000,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",https://www.abbott.com,December,2025-03-31,233904095000,11021000000,17.46,4.168,28.05,2.28,0.0174,7.7,24.34,0.319,0.181,0.0638,0.306,42344002000,23708000000,7.7,0.086,0.04,141.32,7,12,9,0,1,17.46,26.11,5.52,4.792,5.67,21.7,0.737,140.58,98.26,133.14,124.35,1739840000,1729780000,0.542,80.489,2025-08-15,2025-07-15
