,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,23.530000,23.960000,23.530000,23.730000,10.910753,16200,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
2010-01-05,23.790000,24.030000,23.570000,23.570000,10.837187,19500,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
2010-01-06,23.500000,23.500000,23.150000,23.260000,10.694653,17300,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
2010-01-07,23.160000,23.599000,23.070100,23.360000,10.740632,18000,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
2010-01-08,23.370000,23.370000,23.010000,23.130000,10.634880,15500,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
2010-01-11,23.180000,23.430000,23.060000,23.140000,10.639478,19300,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
2010-01-12,23.010000,23.270000,23.000000,23.190000,10.662468,14400,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
2010-01-13,23.160000,23.590000,23.000000,23.500000,10.805002,18000,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
2010-01-14,23.470000,23.682500,23.420000,23.510000,10.809600,8700,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
2010-01-15,23.630000,23.630000,23.010000,23.160000,10.648674,35800,0.000000,1.000000,ADC,Common Stock,Agree Realty Corporation,Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of net leased properties to industry leading retail tenants. ,917251,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"70 E. LONG LAKE ROAD, BLOOMFIELD HILLS, MI, US",https://www.agreerealty.com,December,2025-03-31,7943041000,552777000,40.66,-28.74,49.81,3.018,0.042,1.77,6.2,0.3,0.486,0.023,0.0355,636802000,560063000,1.77,-0.018,0.132,82.03,3,12,6,0,0,40.66,38.46,12.47,1.448,17.4,19.83,0.565,78.83,58.87,74.82,74.33,110019000,107715000,1.801,116.028,2025-07-15,2025-06-30
