,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,25.610000,25.830000,25.610000,25.670000,25.670000,2228600,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
2010-01-05,25.620000,25.710000,25.060000,25.280000,25.280000,3008800,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
2010-01-06,25.150000,25.520000,24.830000,25.340000,25.340000,6638400,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
2010-01-07,25.220000,25.580000,25.110000,25.480000,25.480000,4161100,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
2010-01-08,25.400000,26.400000,25.220000,26.260000,26.260000,4648300,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
2010-01-11,26.340000,26.490000,26.070000,26.250000,26.250000,2151300,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
2010-01-12,26.170000,26.230000,25.630000,25.890000,25.890000,3993300,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
2010-01-13,26.050000,26.430000,25.870000,26.250000,26.250000,2680200,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
2010-01-14,26.280000,26.800000,26.270000,26.600000,26.600000,2659500,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
2010-01-15,26.220000,26.750000,25.845000,26.080000,26.080000,3405900,0.000000,1.000000,ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",https://www.autodesk.com,January,2025-04-30,67747824000,1489000000,68.1,1.878,12.23,None,None,4.65,29.55,0.16,0.21,0.0884,0.424,6347000000,5839000000,4.65,-0.397,0.152,337.8,6,17,9,0,0,68.1,33.0,10.67,25.89,10.75,45.68,1.449,326.62,223.03,293.41,287.31,213945000,213409000,0.244,94.267,None,2005-03-22
