,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,28.030000,28.270000,27.690000,27.760000,15.596191,1299300,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
2010-01-05,27.770000,27.840000,27.410000,27.650000,15.534391,1422200,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
2010-01-06,27.610000,27.890000,27.350000,27.460000,15.427644,1880300,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
2010-01-07,27.470000,27.470000,27.050000,27.200000,15.281570,936900,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
2010-01-08,27.220000,27.220000,26.830000,27.010000,15.174824,954100,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
2010-01-11,27.050000,27.280000,27.050000,27.230000,15.298425,997900,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
2010-01-12,27.150000,27.455000,27.090000,27.200000,15.281570,1021900,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
2010-01-13,27.200000,27.490000,27.140000,27.380000,15.382698,1240900,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
2010-01-14,27.260000,27.500000,27.250000,27.480000,15.438881,763100,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
2010-01-15,27.410000,27.480000,26.920000,27.340000,15.360226,1776100,0.000000,1.000000,AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",https://www.amereninvestors.com,December,2025-03-31,26032173000,3268000000,21.29,2.392,45.2,2.72,0.0296,4.51,28.38,0.159,0.246,0.0269,0.102,7596000000,3727000000,4.51,0.092,0.156,103.67,1,8,6,0,2,21.29,19.27,3.427,2.131,5.77,12.64,0.505,102.59,68.12,96.77,93.79,271112000,268963000,0.284,83.142,2025-06-30,2025-06-10
