,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,25.260000,25.700000,25.120000,25.430000,10.740327,491200,0.000000,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
2010-01-05,25.290000,25.540000,25.240000,25.430000,10.740327,492500,0.000000,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
2010-01-06,25.430000,25.500000,25.240000,25.310000,10.689645,431900,0.000000,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
2010-01-07,25.340000,25.420000,25.000000,25.380000,10.719209,481300,0.000000,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
2010-01-08,25.250000,25.400000,25.150000,25.340000,10.702316,265600,0.000000,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
2010-01-11,25.620000,25.620000,25.380000,25.420000,10.736103,366400,0.000000,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
2010-01-12,25.290000,25.410000,25.030000,25.080000,10.592505,652600,0.000000,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
2010-01-13,25.100000,25.550000,25.100000,25.230000,10.713930,586300,0.137500,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
2010-01-14,25.220000,25.520000,25.150000,25.420000,10.794614,463200,0.000000,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
2010-01-15,25.420000,25.480000,25.160000,25.160000,10.684205,368200,0.000000,1.000000,AFG,Common Stock,American Financial Group Inc,"American Financial Group, Inc., an insurance holding company, offers property and casualty insurance products in the United States. The company is headquartered in Cincinnati, Ohio.",1042046,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","GREAT AMERICAN INSURANCE GROUP TOWER, 301 E. 4TH STREET, CINCINNATI, OH, US",https://www.afginc.com,December,2025-03-31,10642699000,1214000000,13.39,2.78,52.49,3.11,0.0254,9.52,95.13,0.1,0.121,0.0235,0.185,7984000000,1437000000,9.52,-0.364,-0.014,132.2,0,1,5,0,0,13.39,11.53,1.333,2.423,1.316,-,0.715,146.01,112.28,124.89,130.92,83518000,65625000,21.163,66.420,2025-07-25,2025-04-15
