,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,22.080000,23.230000,22.080000,22.620000,17.182325,2853600,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
2010-01-05,22.600000,22.930000,22.330000,22.530000,17.113960,1712100,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
2010-01-06,22.360000,22.900000,22.210000,22.370000,16.992423,1643300,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
2010-01-07,22.380000,23.210000,22.270000,23.060000,17.516552,2204400,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
2010-01-08,22.950000,23.320000,22.690000,23.190000,17.615301,2091200,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
2010-01-11,23.220000,23.540000,22.920000,23.040000,17.501360,2526800,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
2010-01-12,22.890000,23.070000,21.950000,22.230000,16.886078,2315900,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
2010-01-13,22.310000,23.010000,22.190000,22.920000,17.410207,2548300,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
2010-01-14,22.850000,23.820000,22.750000,23.580000,17.911548,2893300,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
2010-01-15,23.480000,23.600000,22.870000,22.940000,17.425400,2341200,0.000000,1.000000,AGO,Common Stock,Assured Guaranty Ltd,"Assured Guaranty Ltd., provides credit protection products to the public finance, infrastructure and structured finance markets in the United States and internationally. The company is headquartered in Hamilton, Bermuda.",1273813,NYSE,USD,USA,FINANCE,SURETY INSURANCE,"30 WOODBOURNE AVE, 5TH FLOOR, HAMILTON BERMUDA, BM",https://www.assuredguaranty.com,December,2025-03-31,4189500000,552000000,10.15,2.52,112.86,1.27,0.0156,8.42,17.03,0.501,0.491,0.0254,0.0818,884000000,850000000,8.42,0.82,0.23,106.5,2,1,1,0,0,10.15,12.85,4.739,0.75,6.26,-,0.82,95.74,71.47,86.12,87.03,49000000,46320300,6.798,96.735,2025-05-30,2025-05-16
