,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,30.360000,30.510000,30.090000,30.410000,21.458404,2631000,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-05,30.480000,30.970000,30.140000,30.910000,21.811222,5342100,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-06,30.900000,30.980000,30.690000,30.920000,21.818278,3399500,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-07,30.850000,31.160000,30.610000,31.080000,21.931180,3694900,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-08,30.890000,31.285000,30.790000,31.210000,22.022913,2806800,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-11,31.340000,31.440000,31.040000,31.210000,22.022913,2168200,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-12,31.440000,31.730000,31.100000,31.180000,22.001744,5354300,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-13,31.190000,31.675000,31.190000,31.460000,22.199322,3517200,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-14,31.350000,31.730000,31.050000,31.640000,22.326337,3368900,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-15,31.560000,31.560000,30.680000,30.910000,21.811222,4696600,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-19,30.800000,31.430000,30.600000,31.390000,22.149927,3008800,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-20,31.230000,31.230000,30.690000,31.220000,22.029969,3577200,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-21,31.160000,31.430000,30.430000,30.830000,21.754771,4900800,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-22,30.830000,31.040000,29.920000,29.980000,21.154980,7059000,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-25,30.330000,30.630000,29.930000,30.350000,21.416066,4136900,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-26,30.280000,31.070000,30.100000,30.280000,21.366671,4427200,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-27,30.220000,30.540000,29.750000,30.280000,21.366671,5202500,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-28,30.520000,30.520000,29.690000,29.950000,21.133811,2919000,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-01-29,30.130000,30.380000,29.860000,29.930000,21.119698,2893600,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
2010-02-01,30.110000,30.260000,29.730000,29.950000,21.133811,2324400,0.000000,1.000000,ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",https://www.allstate.com,December,2025-03-31,52433965000,6041000000,13.53,2.065,75.67,3.76,0.0199,14.63,246.64,0.0619,0.0508,0.0311,0.197,65299001000,14785000000,14.63,-0.527,0.078,227.59,6,9,2,1,1,13.53,11.56,0.803,2.615,0.944,-,0.345,212.16,155.04,201.15,195.83,264818000,263019000,0.580,81.045,2025-07-01,2025-06-09
