,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2013-11-18,49.750000,50.000000,47.490000,48.475000,42.739767,587100,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
2013-11-19,48.990000,49.000000,45.300000,45.800000,40.381255,1682000,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
2013-11-20,45.980000,46.000000,43.990000,44.650000,39.367315,1106900,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
2013-11-21,44.500000,45.150000,43.040000,43.790000,38.609065,730200,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
2013-11-22,43.900000,44.100000,43.250000,43.990000,38.785402,947600,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
2013-11-25,44.280000,45.620000,43.700000,44.180000,38.952922,727300,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
2013-11-26,45.000000,45.000000,43.040000,43.200000,38.088869,873700,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
2013-11-27,43.550000,43.550000,42.500000,43.240000,38.124137,1153300,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
2013-11-29,42.750000,43.850000,42.750000,43.240000,38.124137,949900,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
2013-12-02,43.900000,44.740000,41.520000,43.140000,38.035968,5130700,0.000000,1.000000,ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",https://www.allegion.com,December,2025-03-31,12744761000,922300000,20.8,2.34,18.67,1.95,0.0142,7.12,43.97,0.163,0.208,0.115,0.42,3820200000,1699600000,7.12,0.213,0.054,147.52,4,1,6,0,2,20.8,19.27,3.336,7.93,3.729,15.07,1.035,154.35,112.39,140.79,136.58,86049000,85746000,0.233,100.275,2025-06-30,2025-06-13
