,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,14.050000,14.570000,14.030000,14.300000,11.085891,18615100,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-05,14.240000,14.380000,14.040000,14.190000,11.000615,15173200,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-06,14.230000,14.400000,14.100000,14.160000,10.977358,13704800,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-07,14.140000,14.210000,13.960000,14.010000,10.861072,21543200,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-08,14.240000,14.590000,14.110000,14.552000,11.281251,41212100,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-11,14.840000,14.940000,14.450000,14.870000,11.527776,33667800,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-12,14.760000,14.770000,14.030000,14.200000,11.008367,40350900,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-13,14.290000,14.420000,13.920000,14.270000,11.062634,25137300,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-14,14.220000,14.380000,14.020000,14.350000,11.124653,26920500,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-15,14.160000,14.340000,13.670000,13.730000,10.644006,36020100,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-19,13.770000,14.020000,13.750000,13.970000,10.830063,14620900,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-20,13.830000,13.890000,13.650000,13.800000,10.698272,19220200,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-21,13.860000,14.090000,13.520500,13.580000,10.527720,25265000,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-22,13.350000,13.390000,12.610000,12.630000,9.791245,48104300,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-25,12.660000,12.940000,12.590000,12.640000,9.798997,39765000,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-26,12.720000,13.010000,12.640000,12.650000,9.806750,36897100,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-27,12.750000,13.070000,12.690000,13.040000,10.109092,30448800,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-28,13.080000,13.090000,12.350000,12.610000,9.775740,35016600,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-01-29,12.780000,12.850000,12.150000,12.180000,9.442388,25601600,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
2010-02-01,12.340000,12.560000,12.230000,12.520000,9.705969,20227300,0.000000,1.000000,AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",https://www.appliedmaterials.com,October,2025-04-30,153317245000,8745000000,23.24,1.9,23.63,1.66,0.0101,8.22,34.38,0.241,0.305,0.159,0.364,28089000000,13521000000,8.22,0.277,0.068,196.95,5,21,12,0,0,23.24,18.62,5.46,8.09,5.46,17.08,1.664,253.5,123.39,165.98,171.17,802498000,799393000,0.274,83.330,2025-09-11,2025-08-21
