,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,38.450000,38.500000,37.810000,37.940000,32.197526,3407100,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
2010-01-05,37.720000,37.850000,37.510000,37.700000,31.993851,4986100,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
2010-01-06,37.750000,37.790000,37.500000,37.690000,31.985365,1816600,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
2010-01-07,37.820000,37.820000,37.460000,37.580000,31.892014,1740900,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
2010-01-08,37.530000,37.890000,37.350000,37.890000,32.155094,1980600,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
2010-01-11,38.100000,38.200000,37.880000,38.050000,32.290877,1444800,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
2010-01-12,38.000000,38.200000,37.850000,37.990000,32.239958,1444100,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
2010-01-13,38.000000,38.250000,37.750000,38.060000,32.299363,910400,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
2010-01-14,37.880000,37.880000,37.500000,37.760000,32.044770,1553500,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
2010-01-15,37.530000,37.780000,37.390000,37.560000,31.875041,3660800,0.000000,1.000000,AON,Common Stock,Aon PLC,"Aon plc is a multinational professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans.",315293,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","THE LEADENHALL BUILDING, 122 LEADENHALL STREET, LONDON, GB",https://www.aon.com,December,2025-03-31,76606874000,5265000000,30.66,1.723,32.41,2.77,0.0084,11.57,75.82,0.156,0.337,0.0603,0.72,16357000000,7647000000,11.57,-0.172,0.162,396.07,6,4,8,0,2,30.66,20.49,4.683,10.94,5.3,17.31,0.864,412.1,290.17,357.81,369.46,215940000,209056000,3.030,89.897,2025-05-15,2025-05-01
