,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,43.770000,44.880000,43.570000,44.610000,5.886444,276100,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
2010-01-05,44.590000,44.590000,43.850000,44.040000,5.811231,301800,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
2010-01-06,44.010000,44.430000,43.810000,44.060000,5.813870,165700,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
2010-01-07,44.140000,44.550000,43.870000,44.190000,5.831024,141000,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
2010-01-08,43.990000,44.910000,43.870000,44.840000,5.916793,126100,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
2010-01-11,44.950000,44.990000,44.440000,44.630000,5.889083,141100,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
2010-01-12,44.360000,44.720000,43.720000,44.320000,5.848178,121600,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
2010-01-13,44.430000,44.600000,43.690000,44.070000,5.815189,168900,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
2010-01-14,44.050000,44.850000,44.050000,44.280000,5.842900,130000,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
2010-01-15,44.450000,44.450000,43.060000,43.940000,5.798035,173500,0.000000,1.000000,AOS,Common Stock,Smith AO Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",https://www.aosmith.com,December,2025-03-31,9652043000,768900000,18.97,1.818,13.05,1.32,0.0207,3.58,26.21,0.137,0.19,0.134,0.28,3803200000,1446800000,3.58,-0.05,-0.015,74.86,1,4,9,0,1,18.97,17.99,2.538,5.2,2.563,12.53,1.213,90.77,58.53,66.23,70.51,116239000,114101000,0.773,99.018,2025-05-15,2025-04-30
