,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,47.010000,47.010000,45.910000,45.940000,5.030821,2457200,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
2010-01-05,45.870000,46.100000,44.840000,44.980000,4.925692,2705400,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
2010-01-06,45.040000,45.530000,44.890000,45.150000,4.944309,1664400,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
2010-01-07,44.990000,45.240000,44.700000,44.850000,4.911456,1377600,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
2010-01-08,44.650000,45.180000,44.500000,45.180000,4.947594,1346800,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
2010-01-11,45.440000,45.539900,44.600000,45.290000,4.959640,1635200,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
2010-01-12,44.770000,44.940000,43.720000,44.300000,4.851227,3822400,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
2010-01-13,44.380000,45.100000,44.050000,45.000000,4.927883,1200000,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
2010-01-14,44.980000,45.500000,44.840000,45.290000,4.959640,1983800,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
2010-01-15,45.020000,45.110000,43.680000,43.840000,4.800853,2166000,0.000000,1.000000,APH,Common Stock,Amphenol Corporation,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp.",820313,NYSE,USD,USA,MANUFACTURING,ELECTRONIC CONNECTORS,"358 HALL AVE, WALLINGFORD, CT, US",https://www.amphenol.com,December,2025-03-31,120306811000,4452500000,48.28,2.507,8.52,0.605,0.0067,2.06,13.91,0.156,0.235,0.118,0.275,16777400000,5773800000,2.06,0.318,0.477,92.02,4,8,6,0,0,48.28,38.31,7.17,11.68,7.5,29.44,1.131,99.71,54.27,88.06,73.27,1209600000,1201725000,0.566,97.392,2025-07-09,2025-06-17
