,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2021-04-15,70.000000,71.510000,63.000000,65.200000,65.200000,11444403,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-16,65.000000,65.200000,58.650000,61.000000,61.000000,4199308,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-19,60.000000,61.000000,55.705000,58.860000,58.860000,4642531,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-20,60.039700,61.900000,58.990000,60.150000,60.150000,3055476,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-21,60.490000,62.210000,56.526400,61.810000,61.810000,3607103,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-22,61.950000,62.950000,60.510000,62.100000,62.100000,845085,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-23,62.100000,62.939900,58.450000,58.500000,58.500000,1230352,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-26,58.770000,59.810000,57.650000,59.800000,59.800000,796280,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-27,60.000000,61.110000,58.710000,58.850000,58.850000,630252,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-28,58.420000,60.042400,58.070000,58.750000,58.750000,309565,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-29,59.000000,59.825000,58.820000,59.170000,59.170000,292894,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-04-30,59.410000,59.560000,57.805000,58.010000,58.010000,284043,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
2021-05-03,58.530000,60.410000,58.530000,60.060000,60.060000,516157,0.000000,1.000000,APP,Common Stock,Applovin Corp,"AppLovin Corporation is committed to creating a software-based platform for mobile application developers to improve the marketing and monetization of their applications globally. The company is headquartered in Palo Alto, California.",1751008,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1100 PAGE MILL RD, PALO ALTO, CA, US",https://www.applovin.com,December,2025-03-31,115606544000,2802083000,61.78,2.214,1.701,None,None,5.53,15.2,0.374,0.578,0.273,2.875,5135154000,3991264000,5.53,1.481,0.403,465.49,4,17,4,1,1,61.78,57.14,22.51,200.91,23.13,45.0,2.53,525.15,60.67,347.78,296.84,307698000,231748000,22.544,73.091,None,None
