,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2014-05-02,18.150000,18.750000,18.000000,18.600000,11.598105,7698200,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
2014-05-05,18.440000,19.100000,18.300000,18.600000,11.598105,611400,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
2014-05-06,18.500000,18.650000,18.400000,18.480000,11.523279,398400,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
2014-05-07,18.470000,18.534000,17.360000,17.730000,11.055613,748800,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
2014-05-08,17.600000,18.450000,17.600000,17.830000,11.117969,244300,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
2014-05-09,17.760000,17.870000,17.400000,17.590000,10.968316,446000,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
2014-05-12,17.660000,17.820000,16.810000,17.210000,10.731365,899700,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
2014-05-13,17.210000,17.340000,16.680000,17.200000,10.725130,452800,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
2014-05-14,17.050000,17.380000,16.900000,17.150000,10.693952,448900,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
2014-05-15,17.050000,17.940000,17.000000,17.540000,10.937138,267800,0.000000,1.000000,ARES,Common Stock,Ares Management LP,"Ares Management Corporation is an alternative asset manager in the United States, Europe, and Asia. ",1176948,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"2000 AVE OF THE STARS, 12TH FLOOR, LOS ANGELES, CA, US",https://www.aresmgmt.com,December,2025-03-31,58117820000,1120605000,104.07,0.63,13.71,3.91,0.0259,1.71,21.09,0.103,0.121,0.023,0.149,4266223000,1722218000,1.71,-0.84,0.539,178.29,6,4,5,0,0,104.07,36.5,13.62,12.98,12.16,24.63,1.399,197.59,109.89,165.59,166.65,214974000,212943000,12.411,80.468,2025-06-30,2025-06-16
