,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,35.880000,36.360000,35.770000,36.030000,33.401565,829200,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-05,35.860000,36.500000,35.830000,36.330000,33.679680,700000,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-06,36.990000,37.960000,36.580000,36.850000,34.161745,1084300,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-07,36.890000,38.260000,36.750000,38.000000,35.227851,689300,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-08,37.750000,38.140000,37.680000,38.140000,35.357638,326300,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-11,38.370000,38.490000,38.100000,38.260000,35.468884,249400,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-12,37.830000,38.510000,37.830000,38.500000,35.691375,326500,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-13,38.540000,38.990000,38.130000,38.920000,36.080736,683400,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-14,38.900000,38.960000,38.520000,38.690000,35.988031,142500,0.130000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-15,39.410000,39.410000,37.790000,37.990000,35.336916,261700,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-19,37.980000,38.380000,37.865000,38.370000,35.690379,250900,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-20,37.930000,38.100000,37.390000,37.970000,35.318313,251100,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-21,37.970000,38.170000,37.280000,37.490000,34.871835,372100,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-22,37.380000,37.700000,36.650000,36.840000,34.267228,409000,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-25,37.180000,37.180000,36.480000,36.830000,34.257927,282300,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-26,36.590000,37.250000,36.430000,36.470000,33.923068,214300,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-27,36.310000,36.550000,35.880000,36.510000,33.960274,162100,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-28,36.510000,36.510000,35.280000,36.060000,33.541701,229000,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-01-29,36.140000,36.550000,35.580000,35.780000,33.281255,392600,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-02-01,36.020000,36.620000,35.830000,36.500000,33.950973,292800,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-02-02,36.640000,37.000000,36.470000,36.890000,34.313736,281500,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-02-03,36.670000,37.160000,36.480000,36.950000,34.369546,202500,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-02-04,36.620000,36.730000,35.370000,35.410000,32.937094,222100,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-02-05,35.380000,35.710000,34.750000,35.670000,33.178937,241400,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-02-08,35.600000,35.950000,35.220000,35.250000,32.788268,179500,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-02-09,35.750000,36.209500,34.950000,35.800000,33.299858,338600,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-02-10,35.540000,35.950000,34.800000,35.870000,33.364969,274300,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
2010-02-11,35.860000,36.430000,35.440000,36.370000,33.830051,244600,0.000000,1.000000,AYI,Common Stock,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company is headquartered in Atlanta, Georgia.",1144215,NYSE,USD,USA,MANUFACTURING,ELECTRIC LIGHTING & WIRING EQUIPMENT,"1170 PEACHTREE STREET, NE, SUITE 2300, ATLANTA, GA, US",https://www.acuityinc.com,August,2025-05-31,9358309000,699400000,24.05,1.484,85,0.64,0.0023,12.7,134.96,0.0963,0.145,0.089,0.166,4168800000,1976200000,12.7,-0.138,0.217,335.57,2,3,5,0,0,24.05,15.31,2.245,3.622,2.416,15.2,1.606,344.87,216.65,267.69,290.3,30644800,30203100,0.327,101.262,2025-08-01,2025-07-18
