,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2010-01-04,9.800000,9.900000,9.780000,9.900000,9.900000,472500,0.000000,1.000000
2010-01-05,9.920000,9.920000,9.760000,9.760000,9.760000,216800,0.000000,1.000000
2010-01-06,9.750000,9.750000,9.600000,9.700000,9.700000,122300,0.000000,1.000000
2010-01-07,9.600000,9.600000,9.480000,9.510000,9.510000,100900,0.000000,1.000000
2010-01-08,9.500000,9.500000,9.400000,9.410000,9.410000,101500,0.000000,1.000000
2010-01-11,9.400000,9.480000,9.370000,9.450000,9.450000,58900,0.000000,1.000000
2010-01-12,9.500000,9.580000,9.350000,9.580000,9.580000,23400,0.000000,1.000000
2010-01-13,9.600000,9.600000,9.400000,9.580000,9.580000,47800,0.000000,1.000000
2010-01-14,9.550000,9.700000,9.500000,9.700000,9.700000,20300,0.000000,1.000000
2010-01-15,9.700000,9.850000,9.700000,9.850000,9.850000,42800,0.000000,1.000000
2010-01-19,9.800000,9.950000,9.800000,9.850000,9.850000,19000,0.000000,1.000000
2010-01-20,9.830000,9.990000,9.830000,9.990000,9.990000,16300,0.000000,1.000000
2010-01-21,10.000000,10.050000,9.870000,9.900000,9.900000,61500,0.000000,1.000000
2010-01-22,9.870000,9.870000,9.550000,9.660000,9.660000,181800,0.000000,1.000000
2010-01-25,9.650000,9.650000,9.500000,9.500000,9.500000,118800,0.000000,1.000000
2010-01-26,9.500000,9.530000,9.420000,9.490000,9.490000,240600,0.000000,1.000000
2010-01-27,9.440000,9.470000,9.350000,9.370000,9.370000,37800,0.000000,1.000000
2010-01-28,9.370000,9.370000,9.130000,9.130000,9.130000,28600,0.000000,1.000000
2010-01-29,9.150000,9.450000,9.120000,9.200000,9.200000,48600,0.000000,1.000000
2010-02-01,9.200000,9.390000,9.150000,9.250000,9.250000,19700,0.000000,1.000000
2010-02-02,9.190000,9.220000,9.170000,9.200000,9.200000,90700,0.000000,1.000000
2010-02-03,9.170000,9.250000,9.170000,9.170000,9.170000,26300,0.000000,1.000000
2010-02-04,9.250000,9.250000,9.150000,9.150000,9.150000,30300,0.000000,1.000000
2010-02-05,9.200000,9.200000,9.000000,9.010000,9.010000,4700,0.000000,1.000000
2010-02-08,9.150000,9.220000,9.000000,9.050000,9.050000,26700,0.000000,1.000000
2010-02-09,9.040000,9.070000,8.880000,9.000000,9.000000,217700,0.000000,1.000000
2010-02-10,9.530000,9.530000,8.970000,9.500000,9.500000,181200,0.000000,1.000000
2010-02-11,9.380000,9.380000,9.000000,9.260000,9.260000,272400,0.000000,1.000000
2010-02-12,8.950000,9.220000,8.410000,9.050000,9.050000,334600,0.000000,1.000000
2010-02-16,9.210000,9.490000,9.000000,9.430000,9.430000,132200,0.000000,1.000000
2010-02-17,9.360000,9.500000,8.790000,9.240000,9.240000,70800,0.000000,1.000000
2010-02-18,9.240000,9.430000,9.000000,9.120000,9.120000,88600,0.000000,1.000000
2010-02-19,9.070000,9.340000,9.020000,9.090000,9.090000,885500,0.000000,1.000000
2010-02-22,9.100000,9.100000,8.650000,8.670000,8.670000,382700,0.000000,1.000000
2010-02-23,8.580000,8.580000,8.400000,8.470000,8.470000,227000,0.000000,1.000000
2010-02-24,8.450000,9.000000,8.320000,8.790000,8.790000,487800,0.000000,1.000000
2010-02-25,8.540000,9.070000,8.500000,9.000000,9.000000,339400,0.000000,1.000000
2010-02-26,8.940000,9.020000,8.850000,9.000000,9.000000,85700,0.000000,1.000000
2010-03-01,8.890000,9.190000,8.800000,9.030000,9.030000,218200,0.000000,1.000000
2010-03-02,9.000000,9.190000,8.950000,9.120000,9.120000,67600,0.000000,1.000000
2010-03-03,8.970000,9.290000,8.880000,9.240000,9.240000,327400,0.000000,1.000000
2010-03-04,9.270000,9.410000,9.090000,9.400000,9.400000,181800,0.000000,1.000000
2010-03-05,9.220000,9.740000,9.220000,9.690000,9.690000,266100,0.000000,1.000000
2010-03-08,9.660000,9.710000,9.240000,9.670000,9.670000,93100,0.000000,1.000000
2010-03-09,9.500000,9.750000,9.470000,9.730000,9.730000,57800,0.000000,1.000000
2010-03-10,9.730000,10.000000,9.670000,9.940000,9.940000,76000,0.000000,1.000000
2010-03-11,9.940000,10.050000,9.720000,10.000000,10.000000,91200,0.000000,1.000000
2010-03-12,9.850000,10.260000,9.840000,10.250000,10.250000,146400,0.000000,1.000000
2010-03-15,10.290000,10.500000,10.060000,10.350000,10.350000,49600,0.000000,1.000000
2010-03-16,10.290000,10.310000,9.990000,10.260000,10.260000,41400,0.000000,1.000000
2010-03-17,10.300000,10.360000,10.110000,10.150000,10.150000,92900,0.000000,1.000000
2010-03-18,10.120000,10.300000,10.030000,10.250000,10.250000,145600,0.000000,1.000000
2010-03-19,10.300000,10.430000,10.170000,10.410000,10.410000,94100,0.000000,1.000000
2010-03-22,10.440000,10.440000,10.271000,10.400000,10.400000,21900,0.000000,1.000000
2010-03-23,10.450000,10.570000,10.340000,10.540000,10.540000,53900,0.000000,1.000000
2010-03-24,10.570000,10.590000,10.275000,10.450000,10.450000,25200,0.000000,1.000000
2010-03-25,10.450000,10.470000,10.260000,10.370000,10.370000,76600,0.000000,1.000000
2010-03-26,10.350000,10.400000,9.980000,10.130000,10.130000,48600,0.000000,1.000000
2010-03-29,10.200000,10.320000,10.150000,10.250000,10.250000,27400,0.000000,1.000000
2010-03-30,10.240000,10.320000,10.190000,10.300000,10.300000,28700,0.000000,1.000000
2010-03-31,10.230000,10.500000,10.000000,10.250000,10.250000,29400,0.000000,1.000000
2010-04-01,10.240000,10.460000,10.040000,10.460000,10.460000,423900,0.000000,1.000000
2010-04-05,10.400000,10.500000,10.300000,10.490000,10.490000,57000,0.000000,1.000000
2010-04-06,10.020000,10.750000,10.020000,10.670000,10.670000,173600,0.000000,1.000000
2010-04-07,10.610000,10.680000,10.460000,10.600000,10.600000,88800,0.000000,1.000000
2010-04-08,10.640000,10.670000,10.360000,10.670000,10.670000,66800,0.000000,1.000000
2010-04-09,10.340000,10.640000,10.340000,10.520000,10.520000,58400,0.000000,1.000000
2010-04-12,10.630000,10.780000,10.530000,10.710000,10.710000,57400,0.000000,1.000000
2010-04-13,10.700000,10.810000,10.480000,10.610000,10.610000,56300,0.000000,1.000000
2010-04-14,10.590000,10.752500,10.550000,10.610000,10.610000,155700,0.000000,1.000000
2010-04-15,10.600000,10.675000,10.580000,10.650000,10.650000,48600,0.000000,1.000000
2010-04-16,10.560000,10.880000,10.510000,10.735000,10.735000,85600,0.000000,1.000000
2010-04-19,10.640000,10.640000,10.320000,10.460000,10.460000,117100,0.000000,1.000000
2010-04-20,10.390000,10.770000,10.370000,10.720000,10.720000,232200,0.000000,1.000000
2010-04-21,10.680000,11.000000,10.350000,11.000000,11.000000,173200,0.000000,1.000000
2010-04-22,10.960000,11.100000,10.870000,11.090000,11.090000,158900,0.000000,1.000000
2010-04-23,11.040000,11.250000,11.040000,11.210000,11.210000,140600,0.000000,1.000000
2010-04-26,11.200000,11.610000,11.200000,11.460000,11.460000,689300,0.000000,1.000000
2010-04-27,11.360000,11.540000,11.190000,11.450000,11.450000,327600,0.000000,1.000000
2010-04-28,11.490000,11.630000,11.400000,11.630000,11.630000,155000,0.000000,1.000000
2010-04-29,11.630000,11.820000,11.515000,11.740000,11.740000,186500,0.000000,1.000000
2010-04-30,11.750000,12.010000,11.700000,11.785000,11.785000,197200,0.000000,1.000000
2010-05-03,11.840000,11.900000,11.490000,11.830000,11.830000,211500,0.000000,1.000000
2010-05-04,11.700000,11.830000,11.360000,11.600000,11.600000,201400,0.000000,1.000000
2010-05-05,11.450000,11.730000,11.120000,11.230000,11.230000,162800,0.000000,1.000000
2010-05-06,11.080000,11.410000,9.520000,10.750000,10.750000,158900,0.000000,1.000000
2010-05-07,10.590000,10.890000,9.950000,10.320000,10.320000,252300,0.000000,1.000000
2010-05-10,10.650000,11.270000,10.440000,11.270000,11.270000,454100,0.000000,1.000000
2010-05-11,11.180000,11.730000,10.930000,11.490000,11.490000,235200,0.000000,1.000000
2010-05-12,11.420000,11.850000,11.420000,11.700000,11.700000,426700,0.000000,1.000000
2010-05-13,11.610000,11.840000,11.610000,11.710000,11.710000,107900,0.000000,1.000000
2010-05-14,11.650000,11.810000,11.510000,11.600000,11.600000,102100,0.000000,1.000000
2010-05-17,11.540000,11.760000,11.415000,11.540000,11.540000,217800,0.000000,1.000000
