,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,39.840000,40.580000,39.630000,40.190000,24.342460,6433800,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
2010-01-05,40.540000,41.500000,40.500000,41.210000,24.960259,6979200,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
2010-01-06,41.210000,41.340000,40.660000,40.890000,24.766439,4192500,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
2010-01-07,40.800000,41.590000,40.700000,41.540000,25.160134,8762000,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
2010-01-08,40.640000,40.860000,39.750000,39.910000,24.172869,14177900,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
2010-01-11,40.040000,40.040000,39.000000,39.230000,23.761003,9568900,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
2010-01-12,39.100000,39.330000,38.710000,39.260000,23.779174,6770900,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
2010-01-13,39.370000,39.850000,39.310000,39.730000,24.063845,4400000,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
2010-01-14,39.310000,39.740000,39.240000,39.350000,23.833685,4046500,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
2010-01-15,39.340000,39.460000,38.750000,38.930000,23.579298,5803500,0.000000,1.000000,BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",https://bestbuy.com,January,2025-04-30,15238119000,2593000000,17.59,2.234,13.08,3.77,0.0566,4.1,193.55,0.0213,0.0374,0.0751,0.302,41448002000,9370000000,4.1,-0.159,-0.009,79.28,4,7,17,0,1,17.59,11.82,0.368,5.52,0.438,8.63,1.27,99.71,54.24,69.64,81.54,211347000,194885000,7.484,88.280,2025-07-10,2025-06-18
