,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,64.250000,65.210000,64.110000,64.650000,44.204928,820700,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
2010-01-05,64.940000,67.150000,64.940000,66.880000,45.729708,1852700,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
2010-01-06,67.890000,69.360000,67.250000,69.050000,47.213461,3211500,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
2010-01-07,68.890000,71.250000,68.300000,70.930000,48.498926,3962900,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
2010-01-08,70.650000,71.380000,70.650000,71.290000,48.745078,1828300,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
2010-01-11,71.680000,72.750000,70.020000,70.280000,48.054483,1934400,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
2010-01-12,69.460000,69.590000,67.710000,68.610000,46.912608,1513800,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
2010-01-13,68.450000,68.820000,66.950000,68.130000,46.584404,1388400,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
2010-01-14,67.690000,68.950000,66.170000,68.070000,46.543379,1036600,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
2010-01-15,71.000000,74.040000,69.210000,69.850000,47.760468,3176000,0.000000,1.000000,BG,Common Stock,Bunge Limited,"Bunge Limited is a global food and agribusiness company. The company is headquartered in St. Louis, Missouri.",1996862,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"ROUTE DE FLORISSANT 13, GENEVA, CH",https://www.bunge.com,December,2025-03-31,15689334000,1790000000,10.07,1.705,78.71,2.738,0.0349,7.79,371.5,0.0213,0.0214,0.0313,0.0986,51334001000,3056000000,7.79,-0.119,-0.132,89.71,0,5,4,0,0,10.07,11.32,0.306,1.483,0.379,8.17,0.656,111.2,66.18,79.6,81.5,200017000,133018000,1.047,93.776,2026-03-03,2025-08-19
