,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,53.970000,53.970000,53.600000,53.640000,53.640000,2469700,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
2010-01-05,54.720000,55.000000,53.000000,53.380000,53.380000,4899400,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
2010-01-06,53.100000,53.700000,52.800000,53.430000,53.430000,5555800,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
2010-01-07,53.230000,53.500000,52.460000,52.990000,52.990000,3659900,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
2010-01-08,53.000000,54.330000,52.810000,54.080000,54.080000,2996300,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
2010-01-11,54.100000,54.350000,53.530000,53.900000,53.900000,1813300,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
2010-01-12,53.660000,54.030000,52.940000,53.250000,53.250000,3242900,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
2010-01-13,53.330000,54.330000,52.960000,54.080000,54.080000,2130600,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
2010-01-14,53.810000,54.360000,53.590000,54.360000,54.360000,1769900,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
2010-01-15,54.060000,54.850000,53.780000,54.180000,54.180000,2997200,0.000000,1.000000,BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",https://www.biogen.com,December,2025-03-31,19469175000,3080900000,13.13,6.24,115.9,None,None,10.12,67.32,0.151,0.281,0.0543,0.0919,9816400000,7426200000,10.12,-0.393,0.061,172.2,5,13,19,0,0,13.13,8.9,1.983,1.147,2.393,8.69,0.149,238,110.04,126.33,148.25,146528000,146134000,0.191,92.795,None,None
