,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,97.330000,98.010000,96.920000,97.870000,97.870000,46900,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
2010-01-05,97.800000,99.960000,96.000000,99.580000,99.580000,83300,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
2010-01-06,99.270000,100.990000,98.600000,100.350000,100.350000,71100,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
2010-01-07,101.460000,102.000000,100.830000,101.540000,101.540000,99600,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
2010-01-08,101.550000,102.990000,100.730000,101.050000,101.050000,44600,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
2010-01-11,101.640000,101.640000,99.930000,100.820000,100.820000,54500,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
2010-01-12,100.450000,100.780000,99.910000,100.470000,100.470000,27400,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
2010-01-13,100.420000,101.780000,100.110000,101.620000,101.620000,32200,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
2010-01-14,101.720000,101.990000,100.830000,101.780000,101.780000,19500,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
2010-01-15,101.860000,102.090000,98.780000,99.810000,99.810000,42300,0.000000,1.000000,BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",https://www.bio-rad.com,December,2025-03-31,6758637000,426800000,None,1.19,241.72,None,None,-76.52,90.53,-0.852,0.0972,0.0155,-0.275,2541100000,1363100000,-76.52,-0.83,-0.042,315.33,2,2,2,0,0,-,32.36,2.66,1.025,2.545,-13.07,0.939,387.99,211.43,236.48,294.14,22142400,18657500,16.141,93.040,None,None
