,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,18.940000,19.100000,18.790000,18.950000,18.950000,782500,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
2010-01-05,19.070000,19.270000,18.850000,19.150000,19.150000,882900,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
2010-01-06,18.980000,19.340000,18.960000,19.180000,19.180000,1884900,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
2010-01-07,19.310000,20.540000,19.300000,20.260000,20.260000,3920900,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
2010-01-08,20.130000,20.460000,19.520000,20.250000,20.250000,2012100,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
2010-01-11,20.250000,20.590000,20.040000,20.110000,20.110000,1257500,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
2010-01-12,19.840000,20.110000,19.680000,19.720000,19.720000,3483500,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
2010-01-13,19.840000,20.310000,19.680000,20.290000,20.290000,1508800,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
2010-01-14,20.250000,20.550000,20.210100,20.420000,20.420000,685000,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
2010-01-15,20.450000,20.900000,20.450000,20.810000,20.810000,1968500,0.000000,1.000000,BMRN,Common Stock,Biomarin Pharmaceutical Inc,"BioMarin Pharmaceutical Inc. develops and markets therapies for people with rare diseases and serious and life-threatening medical conditions. The company is headquartered in San Rafael, California.",1048477,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"105 DIGITAL DRIVE, NOVATO, CA, US",https://www.biomarin.com,December,2025-03-31,11027120000,806618000,21.3,0.825,30.21,None,None,2.7,15.48,0.178,0.3,0.0638,0.0964,2950227000,2389870000,2.7,1.08,0.148,95.8,7,16,6,0,0,21.3,13.61,3.738,1.903,3.51,13.33,0.182,94.85,52.93,58.25,64.59,191776000,179358000,0.770,98.907,None,None
