,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2010-01-04,3300.000000,3324.800000,3296.200000,3311.000000,66.220000,31500,0.000000,1.000000
2010-01-05,3319.390000,3329.500000,3307.500000,3327.000000,66.540000,26200,0.000000,1.000000
2010-01-06,3325.000000,3325.010000,3309.730000,3310.000000,66.200000,35200,0.000000,1.000000
2010-01-07,3310.000000,3325.500000,3307.120000,3322.950000,66.459000,30100,0.000000,1.000000
2010-01-08,3324.000000,3324.000000,3315.100000,3322.000000,66.440000,30000,0.000000,1.000000
2010-01-11,3332.000000,3343.500000,3308.000000,3324.990000,66.499800,52400,0.000000,1.000000
2010-01-12,3311.210000,3327.000000,3299.800000,3300.100000,66.002000,34800,0.000000,1.000000
2010-01-13,3311.000000,3323.000000,3299.680000,3300.000000,66.000000,30700,0.000000,1.000000
2010-01-14,3310.000000,3310.000000,3292.500000,3298.000000,65.960000,26500,0.000000,1.000000
2010-01-15,3315.000000,3315.000000,3236.040000,3247.000000,64.940000,51400,0.000000,1.000000
2010-01-19,3276.000000,3338.200000,3262.250000,3332.000000,66.640000,110700,0.000000,1.000000
2010-01-20,3376.000000,3502.500000,3340.000000,3476.000000,69.520000,249500,0.000000,1.000000
2010-01-21,71.130000,73.430000,70.510000,72.720000,72.720000,289944,0.000000,50.000000
2010-01-22,72.900000,73.270000,69.360000,70.100000,70.100000,8783200,0.000000,1.000000
2010-01-25,71.480000,71.770000,68.220000,68.840000,68.840000,6568600,0.000000,1.000000
2010-01-26,69.330000,69.680000,67.870000,68.000000,68.000000,5233900,0.000000,1.000000
2010-01-27,73.280000,73.280000,69.910000,71.360000,71.360000,19886200,0.000000,1.000000
2010-01-28,71.940000,73.990000,71.790000,73.750000,73.750000,14114100,0.000000,1.000000
2010-01-29,74.550000,77.790000,74.420000,76.430000,76.430000,17297400,0.000000,1.000000
2010-02-01,77.790000,78.000000,74.620000,75.410000,75.410000,13131494,0.000000,1.000000
2010-02-02,75.700000,76.170000,74.910000,75.510000,75.510000,7978485,0.000000,1.000000
