,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2013-10-02,23.050000,25.650000,22.610000,25.010000,25.010000,15051500,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
2013-10-03,25.100000,26.440000,24.560100,24.860000,24.860000,1125900,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
2013-10-04,24.900000,26.460000,24.510000,25.890000,25.890000,808600,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
2013-10-07,26.160000,27.900000,25.910000,26.770000,26.770000,575900,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
2013-10-08,26.900000,27.000000,25.384600,25.900000,25.900000,363500,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
2013-10-09,25.640000,26.100000,25.140000,25.520000,25.520000,410100,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
2013-10-10,26.040000,26.629700,24.520000,25.980000,25.980000,394300,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
2013-10-11,25.980000,26.770000,25.510000,26.680000,26.680000,159700,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
2013-10-14,26.400000,27.720000,26.000000,27.530000,27.530000,241100,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
2013-10-15,27.400000,27.820000,26.780000,27.710000,27.710000,158900,0.000000,1.000000,BURL,Common Stock,Burlington Stores Inc,"Burlington Stores, Inc. is a branded apparel retailer in the United States. The company is headquartered in Burlington, New Jersey.",1579298,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DEPARTMENT STORES,"1830 ROUTE 130 NORTH, BURLINGTON, NJ, US",https://www.burlingtoninvestors.com,January,2025-04-30,15607018000,1072511000,30.32,2.985,21.7,None,None,8.16,169.75,0.0488,0.0565,0.057,0.441,10768539000,4668902000,8.16,0.295,0.061,317.48,6,14,1,0,0,30.32,22.47,1.449,11.54,1.908,18.29,1.654,298.88,212.92,239.18,256.45,63087000,62013000,0.464,117.333,None,None
