,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,67.590000,68.330000,66.530000,67.100000,37.614824,1511500,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
2010-01-05,67.240000,68.200000,66.450000,68.120000,38.186614,2173700,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
2010-01-06,68.230000,68.940000,68.030000,68.440000,38.365999,1814900,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
2010-01-07,68.260000,69.390000,67.710000,68.740000,38.534173,1329100,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
2010-01-08,68.260000,68.640000,67.090000,67.850000,38.035258,1021900,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
2010-01-11,68.140000,68.720000,67.690000,68.170000,38.214643,974400,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
2010-01-12,67.710000,68.091000,66.715000,67.490000,37.833449,1391700,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
2010-01-13,67.610000,68.740000,67.300000,68.600000,38.455692,1384200,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
2010-01-14,68.430000,68.780000,67.800000,68.310000,38.293124,967100,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
2010-01-15,68.190000,68.450000,67.610000,68.090000,38.169797,1421900,0.000000,1.000000,BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C.",1037540,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"800 BOYLSTON STREET, SUITE 1900, BOSTON, MA, US",https://www.bxp.com,December,2025-03-31,12165221000,1891935000,None,0.355,33.6,3.92,0.0581,-0.03,21.53,-0.0013,0.284,0.0246,0.008,3397133000,2054184000,-0.03,-0.24,0.02,76.32,2,6,11,1,1,-,36.1,3.581,2.048,7.84,16.83,1.186,86.38,53.45,68.01,73.14,158325000,147272000,0.206,108.137,2025-07-31,2025-06-30
