,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,3.360000,3.410000,3.340000,3.400000,25.516191,406793000,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
2010-01-05,3.420000,3.550000,3.410000,3.530000,26.491810,668617000,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
2010-01-06,3.560000,3.680000,3.510000,3.640000,27.317334,674338000,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
2010-01-07,3.690000,3.700000,3.610000,3.650000,27.392382,672451000,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
2010-01-08,3.650000,3.670000,3.510000,3.590000,26.942096,624097000,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
2010-01-11,3.660000,3.670000,3.600000,3.630000,27.242287,475576000,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
2010-01-12,3.590000,3.610000,3.480000,3.520000,26.416763,470118000,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
2010-01-13,3.550000,3.580000,3.500000,3.500000,26.266667,56432600,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
2010-01-14,3.520000,3.550000,3.500000,3.510000,26.341715,38742900,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
2010-01-15,3.490000,3.500000,3.400000,3.420000,25.666286,540177000,0.000000,1.000000,C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",https://www.citigroup.com,December,2025-03-31,165705007000,None,14.02,1.317,103.9,2.21,0.0263,6.33,37.93,0.186,0.287,0.0054,0.0644,71819002000,71819002000,6.33,0.246,0.025,87.38,6,10,6,0,0,14.02,12.12,2.307,0.854,6.47,-,1.31,88.8,52.26,75.9,71.53,1867730000,1862243000,0.236,79.516,2025-05-23,2025-05-05
