,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,57.650000,59.190000,57.510000,58.550000,39.560882,7325600,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-05,58.550000,59.440000,58.230000,59.250000,40.033856,5697200,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-06,59.180000,59.930000,59.050500,59.430000,40.155477,4718800,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-07,59.300000,59.905000,58.650000,59.670000,40.317640,5432900,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-08,59.250000,60.370000,59.250000,60.340000,40.770343,6651300,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-11,60.950000,64.420000,60.850000,64.130000,43.331159,21958800,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-12,63.010000,63.160000,61.180000,62.240000,42.054130,13561900,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-13,62.100000,62.780000,61.380000,62.330000,42.114940,8398700,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-14,62.100000,62.840000,61.750000,61.980000,41.878454,6224100,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-15,61.450000,61.670000,60.010000,60.120000,40.905479,9397000,0.420000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
2010-01-19,59.760000,61.200000,59.350000,60.930000,41.456601,8056500,0.000000,1.000000,CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"510 LAKE COOK ROAD, SUITE 100, DEERFIELD, IL, US",https://www.caterpillar.com,December,2025-03-31,187119518000,14790000000,19.42,2.109,38.35,5.64,0.0156,20.49,131.26,0.157,0.184,0.094,0.556,63259001000,20144001000,20.49,-0.27,-0.098,374.6,3,11,14,0,0,19.42,20.92,2.958,10.36,3.512,14.75,1.368,414.91,265.98,348.07,360.76,470315000,469497000,0.218,72.181,2025-08-20,2025-07-21
