,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,13.810000,14.150000,13.630000,13.820000,13.820000,4553000,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
2010-01-05,13.930000,14.150000,13.700000,14.150000,14.150000,4510400,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
2010-01-06,14.210000,14.320000,13.970000,14.030000,14.030000,3748100,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
2010-01-07,14.030000,14.220000,13.930000,14.170000,14.170000,3138000,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
2010-01-08,14.020000,14.210000,13.980000,14.200000,14.200000,1572600,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
2010-01-11,14.350000,14.380000,13.890000,14.060000,14.060000,1583300,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
2010-01-12,13.910000,14.010000,13.290000,13.580000,13.580000,2549900,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
2010-01-13,13.620000,14.010000,13.410000,13.950000,13.950000,2768500,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
2010-01-14,13.900000,14.010000,13.450000,13.480000,13.480000,3072300,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
2010-01-15,13.460000,13.600000,13.180000,13.380000,13.380000,2583700,0.000000,1.000000,CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the largest commercial real estate services company in the world.",1138118,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"400 SOUTH HOPE STREET, 25TH FLOOR, LOS ANGELES, CA, US",https://www.cbre.com,December,2025-03-31,42682671000,2256000000,43.92,1.024,28.06,None,None,3.26,120.67,0.0274,0.031,0.0389,0.119,36742001000,7205000000,3.26,0.317,0.123,145.26,4,5,4,0,0,43.92,23.98,1.162,5.15,1.365,24.48,1.29,147.75,87.25,129.4,130.71,298105000,291466000,0.524,99.702,None,2024-04-19
