,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,38.960000,39.370000,38.920000,39.280000,13.596918,310653,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
2010-01-05,39.250000,39.350000,38.775000,39.210000,13.572688,276675,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
2010-01-06,39.150000,39.430000,38.820000,39.060000,13.520765,242615,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
2010-01-07,39.060000,40.230000,38.860000,39.980000,13.839226,314108,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
2010-01-08,39.800000,40.020000,39.340000,39.480000,13.666149,279801,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
2010-01-11,39.740000,40.040000,39.280000,39.730000,13.752688,354503,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
2010-01-12,39.570000,40.040000,39.310000,39.600000,13.707688,370792,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
2010-01-13,39.610000,39.890000,39.210000,39.590000,13.704226,273549,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
2010-01-14,39.590000,41.240000,39.060000,40.850000,14.140380,534510,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
2010-01-15,40.910000,41.740000,40.690000,40.720000,14.095380,604111,0.000000,1.000000,CBSH,Common Stock,Commerce Bancshares Inc,"Commerce Bancshares, Inc. is the banking holding company for Commerce Bank providing retail, mortgage banking, corporate, investment, trust and asset management products and services to individuals and businesses in the United States. The company is headquartered in Kansas City, Missouri.",22356,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"1000 WALNUT, KANSAS CITY, MO, US",https://www.commercebank.com,December,2025-03-31,8613595000,None,16.02,3.58,25.98,1.047,0.0177,4.03,12.28,0.332,0.447,0.0175,0.17,1643891000,1643891000,4.03,0.19,0.034,65.75,0,0,7,0,0,16.02,16.39,5.24,2.477,4.614,-,0.596,71.82,51.68,62.71,62.72,133420000,121577000,2.555,72.045,2025-06-24,2025-06-06
