,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,39.410000,40.150000,39.330000,39.610000,25.106194,1964100,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
2010-01-05,39.760000,40.490000,39.630000,39.990000,25.347051,2116000,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
2010-01-06,39.530000,39.850000,39.120000,39.420000,24.985766,1612100,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
2010-01-07,39.450000,39.450000,38.610000,38.770000,24.573773,1671500,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
2010-01-08,38.780000,39.140000,38.300000,38.960000,24.694202,2004200,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
2010-01-11,39.280000,39.500000,38.930000,38.970000,24.700540,1658300,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
2010-01-12,38.820000,38.880000,38.050000,38.250000,24.244179,2345700,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
2010-01-13,38.260000,38.800000,38.260000,38.670000,24.510390,1633800,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
2010-01-14,38.570000,38.710000,38.400000,38.610000,24.472359,1569900,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
2010-01-15,39.610000,39.610000,38.580000,38.690000,24.523066,1797800,0.000000,1.000000,CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",https://www.crowncastle.com,December,2025-03-31,44817441000,3945000000,None,2.578,-2.88,6.26,0.0414,-9.01,15.0,-0.718,0.493,0.0404,-1.632,6515000000,4672000000,-9.01,0.142,-0.048,114.12,3,6,12,0,0,-,50.76,6.88,8.86,11.42,20.71,0.9,115.8,81.93,101.52,100.84,435459000,434414000,0.126,97.925,2025-06-30,2025-06-13
