,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,6.010000,6.120000,5.950000,6.120000,6.120000,3089200,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
2010-01-05,6.120000,6.120000,5.967500,6.060000,6.060000,3981800,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
2010-01-06,6.040000,6.200000,6.020000,6.130000,6.130000,4317700,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
2010-01-07,6.100000,6.290000,6.090000,6.250000,6.250000,4079900,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
2010-01-08,6.260000,6.360400,6.220000,6.340000,6.340000,2336100,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
2010-01-11,6.350000,6.420000,6.300000,6.340000,6.340000,4409300,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
2010-01-12,6.340000,6.340000,6.160000,6.200000,6.200000,3100600,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
2010-01-13,6.220000,6.410000,6.200000,6.390000,6.390000,3328000,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
2010-01-14,6.350000,6.390000,6.250000,6.320000,6.320000,2326700,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
2010-01-15,6.290000,6.330000,6.160000,6.220000,6.220000,2212300,0.000000,1.000000,CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",https://www.cadence.com,December,2025-03-31,89232851000,1710598000,82.74,3.737,17.49,None,None,3.95,17.93,0.222,0.291,0.127,0.259,4874527000,4185089000,3.95,0.099,0.231,320.2,5,14,3,1,0,82.74,48.31,18.31,18.68,18.24,50.94,0.984,330.09,221.56,303.42,286.37,273042000,272024000,0.331,91.862,None,None
