,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2020-12-11,29.900000,39.500000,29.700000,38.080000,38.080000,20151229,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
2020-12-14,35.010000,36.270000,33.400000,33.590000,33.590000,3075726,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
2020-12-15,33.710000,35.450000,33.200000,35.010000,35.010000,976882,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
2020-12-16,34.950000,39.299800,34.140000,38.780000,38.780000,2060152,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
2020-12-17,39.000000,40.050000,37.510000,39.250000,39.250000,3556800,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
2020-12-18,37.978600,39.499600,35.180000,35.550000,35.550000,829300,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
2020-12-21,35.713900,37.800000,34.130000,36.810000,36.810000,850138,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
2020-12-22,36.860000,39.540000,36.650000,37.550000,37.550000,953517,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
2020-12-23,37.500000,41.790000,36.128200,40.180000,40.180000,673633,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
2020-12-24,40.200000,40.480000,37.000000,37.820000,37.820000,238683,0.000000,1.000000,CERT,Common Stock,Certara Inc,"Certara Inc. provides software products and technology services to clients for biosimulation in drug discovery, preclinical and clinical research, regulatory filings, and market access. The company is headquartered in Princeton, New Jersey.",1827090,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 OVERLOOK CENTER, SUITE 101, PRINCETON, NJ, US",https://www.certara.com,December,2025-03-31,1838111000,98093000,None,None,6.71,None,None,-0.02,2.454,-0.0067,0.0719,0.0112,-0.0025,394498000,237716000,-0.02,-0.141,0.097,15.78,1,4,6,0,0,-,24.39,4.659,1.695,4.978,23.49,1.448,16.93,8.63,11.84,11.56,162234000,121838000,2.483,100.900,None,None
