,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-05,35.000000,35.000000,35.000000,35.000000,35.000000,10000,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
2010-01-06,35.000000,35.000000,35.000000,35.000000,35.000000,0,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
2010-01-07,35.250000,35.500000,35.000000,35.000000,35.000000,9800,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
2010-01-08,34.550000,34.550000,33.500000,33.500000,33.500000,32200,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
2010-01-11,33.500000,33.500000,33.500000,33.500000,33.500000,3700,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
2010-01-12,33.500000,33.550000,33.500000,33.500000,33.500000,5100,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
2010-01-13,33.010000,33.010000,32.500000,32.750000,32.750000,226300,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
2010-01-14,32.750000,32.750000,32.750000,32.750000,32.750000,150500,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
2010-01-15,32.500000,32.500000,32.250000,32.250000,32.250000,45500,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
2010-01-19,32.250000,32.250000,31.750000,32.000000,32.000000,19400,0.000000,1.000000,CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",https://corporate.charter.com,December,2025-03-31,56969777000,22151999000,11.63,0.443,115.75,None,None,35.86,387.41,0.0942,0.245,0.0564,0.331,55140999000,30361999000,35.86,0.115,0.004,434.27,2,7,8,1,3,11.63,11.11,1.033,3.913,2.871,7.38,1.081,437.06,286.66,396.85,366.0,136628000,75319000,35.976,77.719,None,None
