,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,14.590000,14.650000,14.500000,14.520000,8.102552,2239700,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
2010-01-05,14.560000,14.610000,14.290000,14.410000,8.041169,4227100,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
2010-01-06,14.450000,14.450000,14.180000,14.270000,7.963045,5716100,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
2010-01-07,14.300000,14.420000,14.090000,14.410000,8.041169,5962900,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
2010-01-08,14.330000,14.380000,14.180000,14.240000,7.946305,4050400,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
2010-01-11,14.300000,14.340000,14.210000,14.340000,8.002107,2175000,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
2010-01-12,14.320000,14.680000,14.320000,14.430000,8.052330,4563400,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
2010-01-13,14.420000,14.550000,14.370000,14.550000,8.119293,2294300,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
2010-01-14,14.570000,14.640000,14.410000,14.620000,8.158355,2262200,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
2010-01-15,14.550000,14.640000,14.350000,14.610000,8.152775,3405900,0.000000,1.000000,CNP,Common Stock,CenterPoint Energy Inc,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1130310,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1111 LOUISIANA ST., HOUSTON, TX, US",https://www.centerpointenergy.com,December,2025-03-31,23459043000,3362000000,24.28,2.413,16.78,0.83,0.024,1.48,13.8,0.108,0.221,0.0297,0.0922,8943000000,4037000000,1.48,-0.182,0.114,38.53,1,5,12,0,1,24.28,20.53,2.623,2.141,4.892,12.59,0.576,39.07,24.91,37.13,33.51,652728000,649367000,0.423,99.078,2025-06-12,2025-05-15
