,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,32.150000,32.470000,31.960000,32.160000,16.080000,92500,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
2010-01-05,32.510000,34.290000,31.910000,32.570000,16.285000,334400,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
2010-01-06,32.500000,33.788800,32.400000,32.770000,16.385000,264900,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
2010-01-07,32.580000,32.630000,31.210000,31.480000,15.740000,172300,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
2010-01-08,31.470000,31.495000,31.190000,31.350000,15.675000,90500,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
2010-01-11,31.790000,31.859500,31.140000,31.190000,15.595000,79400,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
2010-01-12,30.870000,30.950000,29.790000,30.250000,15.125000,121100,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
2010-01-13,30.280000,30.420000,29.890000,30.120000,15.060000,88900,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
2010-01-14,30.000000,30.120000,29.840000,29.930000,14.965000,73000,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
2010-01-15,30.080000,30.080000,29.000000,29.350000,14.675000,272200,0.000000,1.000000,COHR,Common Stock,Coherent Inc,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a variety of scientific, commercial, and industrial research applications. The company is headquartered in Santa Clara, California.",820318,NYSE,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"375 SAXONBURG BLVD, SAXONBURG, PA, US",https://www.coherent.com,June,2025-03-31,14129586000,1029707000,None,0.34,34.46,None,None,-0.22,36.33,0.0173,0.0972,0.0202,0.01,5595041000,1929114000,-0.22,-0.609,0.239,97.41,5,11,3,0,0,-,30.03,2.525,2.64,3.511,19.93,1.857,113.6,45.58,77.67,85.25,155441000,126033000,1.136,94.232,2012-12-27,2012-12-17
