,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,38.260000,38.480000,37.610000,37.750000,9.377088,481200,0.000000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
2010-01-05,37.520000,38.210000,37.480000,38.190000,9.486384,310900,0.000000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
2010-01-06,37.940000,38.480000,37.860000,38.170000,9.481416,390700,0.000000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
2010-01-07,37.900000,38.700000,37.780000,38.570000,9.580775,350600,0.000000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
2010-01-08,38.250000,38.430000,37.790000,37.950000,9.426768,235800,0.000000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
2010-01-11,38.000000,38.150000,37.700000,38.000000,9.439188,206300,0.000000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
2010-01-12,37.620000,38.220000,37.540000,37.630000,9.347280,203700,0.000000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
2010-01-13,37.760000,38.660000,37.740000,38.660000,9.603131,330000,0.000000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
2010-01-14,38.360000,38.900000,38.110000,38.520000,9.575807,554300,0.030000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
2010-01-15,38.260000,38.310000,37.580000,37.690000,9.369475,354600,0.000000,1.000000,COO,Common Stock,"The Cooper Companies, Inc","The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",https://www.coopercos.com,October,2025-04-30,14624303000,1123500000,35.41,1.115,41.54,None,None,2.07,19.99,0.104,0.184,0.0388,0.0515,3988200000,2680000000,2.07,-0.003,0.063,93.03,2,9,8,0,0,35.41,16.56,3.667,1.764,4.286,15.55,0.986,112.38,65,76.07,90.37,199513000,198138000,0.619,102.580,2023-08-11,2023-07-26
