,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,42.380000,42.730000,41.870000,42.250000,4.225000,71000,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
2010-01-05,42.290000,42.550000,41.885000,42.450000,4.245000,93300,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
2010-01-06,42.850000,43.330000,42.360000,42.500000,4.250000,123200,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
2010-01-07,42.590000,42.590000,41.640000,42.420000,4.242000,39600,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
2010-01-08,42.230000,42.570000,42.040000,42.340000,4.234000,41500,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
2010-01-11,42.460000,42.470000,41.920000,42.360000,4.236000,34900,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
2010-01-12,42.080000,42.390000,41.630000,41.720000,4.172000,52000,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
2010-01-13,41.830000,42.180000,41.260000,41.520000,4.152000,80900,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
2010-01-14,41.510000,42.520000,41.470000,42.490000,4.249000,75200,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
2010-01-15,42.640000,42.690000,41.190000,41.420000,4.142000,130800,0.000000,1.000000,CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",https://www.costargroup.com,December,2025-03-31,34645361000,183200000,293.29,3.014,20.22,None,None,0.28,6.9,0.0417,-0.0344,0.0014,0.0147,2812000000,2241400000,0.28,-0.382,0.115,88.47,6,5,4,1,0,293.29,158.73,12.32,4.049,11.32,192.15,0.873,83.68,68.26,78.18,76.56,421887000,416238000,1.186,106.375,None,None
