,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,48.990000,49.180000,48.270000,48.860000,4.154434,2797000,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
2010-01-05,48.980000,50.250000,48.810000,50.150000,4.264119,3990400,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
2010-01-06,50.230000,50.710000,49.820000,50.310000,4.277723,3306400,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
2010-01-07,50.110000,50.350000,49.600000,49.960000,4.247964,2598000,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
2010-01-08,49.740000,52.830000,49.640000,52.380000,4.453730,6063000,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
2010-01-11,52.600000,52.680000,51.430000,51.860000,4.409516,4222100,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
2010-01-12,51.340000,51.340000,50.260000,50.710000,4.311734,3745300,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
2010-01-13,50.760000,51.190000,50.110000,51.020000,4.338093,2755000,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
2010-01-14,51.060000,51.280000,50.080000,50.550000,4.298130,2530100,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
2010-01-15,50.690000,50.710000,49.500000,50.040000,4.254766,3017200,0.000000,1.000000,CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",https://www.csx.com,December,2025-03-31,63119278000,6789000000,20,2.261,6.48,0.49,0.0159,1.68,7.43,0.227,0.306,0.0745,0.261,14282000000,6789000000,1.68,-0.244,-0.07,33.12,3,11,13,0,0,20,20.37,4.42,5.19,5.71,12.09,1.236,36.68,26.11,30.95,32.22,1878550000,1874469000,0.247,79.997,2025-06-13,2025-05-30
