,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,44.650000,46.330000,44.650000,46.230000,8.561822,1128700,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
2010-01-05,45.420000,46.250000,44.850000,46.170000,8.550710,1578300,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
2010-01-06,46.250000,46.460000,45.770000,45.970000,8.513670,1158300,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
2010-01-07,45.770000,45.770000,44.610000,45.560000,8.437737,1688200,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
2010-01-08,45.230000,45.480000,44.510000,45.460000,8.419217,1256200,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
2010-01-11,46.300000,46.340000,43.550000,44.290000,8.202533,1946500,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
2010-01-12,43.490000,43.560000,42.900000,43.140000,7.989552,1015500,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
2010-01-13,43.360000,43.940000,42.530000,43.860000,8.122896,1351000,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
2010-01-14,44.000000,44.449500,43.360000,43.810000,8.113636,1008200,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
2010-01-15,43.750000,43.890000,42.770000,42.990000,7.961772,929500,0.000000,1.000000,CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",https://www.coterra.com,December,2025-03-31,19249441000,3574000000,14.75,44.67,18.62,0.85,0.0347,1.71,7.8,0.222,0.369,0.0462,0.094,5802000000,4318000000,1.71,0.449,0.405,33.13,10,12,4,0,0,14.75,9.23,3.318,1.353,3.978,6.49,0.326,29.56,21.75,25.19,25.85,763261000,751155000,1.474,91.715,2025-05-29,2025-05-15
