,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2019-05-24,29.750000,32.000000,28.500000,29.000000,26.807671,43994,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
2019-05-28,29.250000,30.500000,28.510000,28.765000,26.590436,61544,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
2019-05-29,29.900000,29.900000,27.660000,28.500000,26.345470,207765,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
2019-05-30,28.990000,29.160000,28.220000,28.800000,26.622790,666050,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
2019-05-31,28.500000,28.590000,26.970000,26.970000,24.931134,853801,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
2019-06-03,26.540000,27.000000,24.370000,24.810000,22.934425,19259630,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
2019-06-04,24.350000,27.940000,24.350000,27.750000,25.652168,20135135,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
2019-06-05,27.540000,28.220000,26.460000,28.010000,25.892513,10740207,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
2019-06-06,27.690000,27.690000,26.230000,26.900000,24.866426,13986084,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
2019-06-07,26.170000,26.930000,25.715000,26.310000,24.321028,10049260,0.000000,1.000000,CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",https://www.corteva.com,December,2025-03-31,52608950000,3328000000,46.46,1.331,35.55,0.68,0.0091,1.66,24.4,0.0677,0.186,0.0308,0.0466,16833000000,7512000000,1.66,0.595,-0.017,74.44,5,13,6,0,0,46.46,27.17,3.125,2.166,3.249,18.1,0.754,77.41,49.75,69.38,62.44,682170000,680560000,0.092,87.230,2025-06-16,2025-06-02
