,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,7.710000,7.800000,7.520000,7.600000,14.088705,643600,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-05,7.590000,8.030000,7.580000,7.980000,14.793141,1561800,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-06,7.970000,8.190000,7.910000,8.140000,15.089745,1728100,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-07,8.140000,8.310000,8.060000,8.310000,15.404887,1435000,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-08,8.290000,8.310000,8.100000,8.150000,15.108283,456700,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-11,8.230000,8.290000,8.150000,8.250000,15.293660,481200,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-12,8.210000,8.300000,8.060000,8.110000,15.034132,899800,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-13,8.180000,8.350000,8.110000,8.330000,15.441963,995000,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-14,8.270000,8.360000,8.250000,8.300000,15.386349,502800,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-15,8.300000,8.350000,8.100000,8.280000,15.349274,487100,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-19,8.280000,8.440000,8.260000,8.400000,15.571727,854800,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-20,8.310000,8.370000,8.240000,8.280000,15.349274,1038200,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-21,8.300000,8.390000,8.170000,8.170000,15.145358,1205600,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-22,8.110000,8.140000,7.630000,7.770000,14.403847,1570000,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-25,7.810000,7.960000,7.705000,7.890000,14.626301,871400,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-26,7.840000,7.990000,7.770000,7.860000,14.570687,642000,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-27,7.850000,8.040000,7.790000,8.000000,14.830216,1150400,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-28,8.000000,8.010000,7.700000,7.780000,14.589225,837400,0.090000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
2010-01-29,7.780000,7.950000,7.580000,7.660000,14.364199,1145700,0.000000,1.000000,CUZ,Common Stock,Cousins Properties Incorporated,"Cousins Properties is a fully integrated, self-managed and self-managed Real Estate Investment Trust (REIT). ",25232,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"3344 PEACHTREE ROAD, NE, SUITE 1800, ATLANTA, GA, US",https://www.cousins.com,December,2025-03-31,4991087000,560884000,90.06,0,28.67,1.28,0.0426,0.33,5.67,0.06,0.235,0.0143,0.0116,892818000,606076000,0.33,0.421,0.185,32.75,2,7,3,0,0,90.06,-,5.59,1.037,8.97,14.25,1.322,31.86,21.76,28.73,29.61,167912000,166026000,0.817,101.587,2025-07-17,2025-07-07
