,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,42.720000,43.260000,42.290000,42.880000,16.988107,323400,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
2010-01-05,42.770000,42.770000,41.760000,41.910000,16.603815,381400,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
2010-01-06,41.790000,42.300000,41.690000,42.250000,16.738515,319700,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
2010-01-07,42.050000,42.830000,42.020000,42.770000,16.944528,308400,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
2010-01-08,42.730000,42.970000,42.430000,42.970000,17.023763,302100,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
2010-01-11,43.030000,43.250000,42.630000,43.050000,17.055457,232700,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
2010-01-12,42.760000,43.020000,42.360000,42.600000,16.877177,266300,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
2010-01-13,42.640000,43.070000,42.390000,42.830000,16.968298,236300,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
2010-01-14,42.540000,42.570000,41.830000,42.270000,16.746439,584000,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
2010-01-15,42.090000,42.410000,41.460000,41.710000,16.524579,263300,0.000000,1.000000,DCI,Common Stock,Donaldson Company Inc,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company is headquartered in Bloomington, Minnesota.",29644,NYSE,USD,USA,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,"1400 W. 94TH ST., MINNEAPOLIS, MN, US",https://www.donaldson.com,July,2025-04-30,8303216000,663400000,23.83,2.132,12.54,1.08,0.0173,2.99,30.47,0.0994,0.158,0.12,0.246,3645600000,1290300000,2.99,-0.478,0.013,72.4,0,1,6,1,0,23.83,18.02,2.278,5.67,2.427,14.64,1.002,78.01,57.2,68.75,70.27,116520000,115666000,0.573,91.235,2025-06-30,2025-06-16
