,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2019-09-19,40.350000,41.440000,36.030000,37.550000,37.550000,22073186,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-09-20,38.590000,39.200000,36.150000,36.150000,36.150000,3330499,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-09-23,36.580000,38.150000,35.750000,36.110000,36.110000,2247259,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-09-24,36.010000,37.120000,34.060000,34.500000,34.500000,3210350,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-09-25,34.600000,35.600000,34.200000,35.250000,35.250000,3027990,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-09-26,36.000000,36.290000,32.300000,32.440000,32.440000,2659939,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-09-27,33.000000,33.510000,30.470000,32.270000,32.270000,2478506,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-09-30,32.640000,34.200000,32.000000,33.910000,33.910000,1386510,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-01,34.250000,34.480000,31.250000,32.390000,32.390000,1292118,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-02,31.650000,31.900000,30.010000,31.100000,31.100000,1877242,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-03,31.180000,34.800000,30.500000,32.890000,32.890000,2438925,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-04,33.050000,35.080000,32.798600,34.720000,34.720000,920602,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-07,34.900000,37.970000,34.400000,36.810000,36.810000,1985558,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-08,36.500000,36.700000,34.920000,35.450000,35.450000,1217655,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-09,35.850000,37.490000,35.610000,36.750000,36.750000,1168145,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-10,36.750000,37.350000,35.150000,35.600000,35.600000,1350759,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-11,35.930000,36.480000,35.370000,35.670000,35.670000,2170433,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-14,35.650000,36.250000,32.950000,33.090000,33.090000,2195955,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
2019-10-15,33.170000,34.850000,32.510000,34.800000,34.800000,1473859,0.000000,1.000000,DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",https://www.datadoghq.com,December,2025-03-31,53581513000,77519000,330.11,2.664,8.46,None,None,0.47,8.36,0.0585,-0.0163,0.0037,0.0648,2834575000,2271954000,0.47,-0.417,0.246,139.28,11,26,9,0,0,330.11,82.64,18.9,18.37,18.0,203.65,1.001,170.08,81.63,117.92,124.54,319498000,312669000,2.383,86.654,None,None
