,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2018-12-21,42.682200,42.682200,42.173300,42.173300,19.756727,92700,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
2018-12-24,42.173300,42.173300,42.173300,42.173300,19.756727,0,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
2018-12-26,44.250000,44.910000,43.500000,44.910000,21.038776,406231,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
2018-12-27,45.000000,45.000000,43.790000,44.600000,20.893551,330866,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
2018-12-28,46.000000,46.500000,44.770000,45.430000,21.282378,4501295,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
2018-12-31,45.500000,48.870000,45.500000,48.870000,22.893898,5818707,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
2019-01-02,48.230000,49.100000,46.060000,47.120000,22.074084,6108745,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
2019-01-03,46.560000,47.000000,44.780000,45.130000,21.141838,6902591,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
2019-01-04,45.660000,46.960000,44.860000,46.020000,21.558772,8906759,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
2019-01-07,45.930000,47.380000,45.530000,46.320000,21.699312,4925854,0.000000,1.000000,DELL,Common Stock,Dell Technologies Inc,"Dell Technologies Inc. designs, develops, manufactures, markets, sells and supports information technology solutions, products and services worldwide. The company is headquartered in Round Rock, Texas.",1571996,NYSE,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US",https://www.dell.com,January,2025-04-30,85005476000,9904000000,19.6,0.958,-4.428,1.86,0.0171,6.39,137.95,0.0472,0.0554,0.0536,0.443,96700998000,21492001000,6.39,0,0.051,135.63,6,14,4,0,0,19.6,13.23,0.879,4.39,1.097,10.59,1.087,147.64,65.82,109.47,111.95,339719000,307498000,9.243,69.717,2025-08-01,2025-07-22
