,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,50.380000,51.010000,49.430000,50.150000,27.028179,1306900,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-05,50.030000,50.550000,49.520000,50.480000,27.206031,841500,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-06,50.660000,50.760000,49.550000,49.800000,26.839548,988300,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-07,49.680000,50.480000,49.520000,50.240000,27.076684,881100,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-08,50.120000,50.940000,49.910000,50.800000,27.378494,971700,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-11,51.190000,51.390000,50.360000,50.550000,27.243758,607900,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-12,50.140000,50.500000,49.420000,49.960000,26.925779,817100,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-13,50.000000,50.470000,49.750000,50.200000,27.055126,814100,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-14,49.990000,50.840000,49.730000,50.500000,27.216810,884800,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-15,50.430000,50.660000,49.630000,50.000000,26.947337,1392900,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-19,50.090000,51.400000,50.090000,51.050000,27.513231,1200500,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
2010-01-20,50.770000,50.770000,49.760000,50.450000,27.189863,795100,0.000000,1.000000,DLR,Common Stock,Digital Realty Trust Inc,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services.",1297996,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"FOUR EMBARCADERO CENTER, SUITE 3200, SAN FRANCISCO, CA, US",https://www.digitalrealty.com,December,2025-03-31,59226137000,2488730000,164.38,6.02,61.07,4.88,0.028,1.05,16.75,0.0781,0.163,0.01,0.0185,5519692000,2988042000,1.05,-0.67,0.065,186.4,6,14,6,0,2,164.38,109.89,10.73,2.827,13.29,27.91,0.975,193.72,129.05,169.78,167.67,336791000,314651000,0.018,100.799,2025-06-30,2025-06-13
