,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,41.920000,42.360000,41.630000,42.360000,21.284199,1502200,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
2010-01-05,42.260000,42.310000,41.950000,42.160000,21.183707,1027600,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
2010-01-06,42.150000,42.720000,41.900000,42.660000,21.434937,1496400,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
2010-01-07,42.830000,44.110000,42.830000,43.600000,21.907249,1582600,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
2010-01-08,43.560000,44.870000,43.220000,44.850000,22.535324,1769600,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
2010-01-11,44.920000,45.550000,44.850000,45.390000,22.806652,1620600,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
2010-01-12,44.960000,45.560000,44.830000,45.550000,22.887046,2607800,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
2010-01-13,45.390000,46.060000,45.270000,45.970000,23.098079,3746300,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
2010-01-14,45.940000,46.480000,45.550000,46.430000,23.329210,2186900,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
2010-01-15,46.220000,46.330000,45.430000,45.590000,22.907144,2300500,0.000000,1.000000,DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",https://www.dovercorporation.com,December,2025-03-31,25861929000,1666149000,25.05,2.402,52.06,2.055,0.0112,7.53,56.29,0.297,0.164,0.0671,0.169,7728249000,3035324000,7.53,-0.63,-0.009,202.31,2,9,9,0,0,25.05,20.16,3.346,3.623,3.498,15.37,1.268,221.08,142.63,178.36,187.48,137104000,136356000,1.337,86.986,2025-06-16,2025-05-30
