,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,59.120000,60.050000,59.090000,59.920000,29.960000,955200,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
2010-01-05,60.090000,60.290000,59.230000,59.410000,29.705000,770500,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
2010-01-06,59.490000,59.520000,58.810000,59.060000,29.530000,649800,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
2010-01-07,58.820000,59.600000,58.510000,59.570000,29.785000,763200,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
2010-01-08,59.790000,61.210000,59.590000,61.000000,30.500000,1221300,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
2010-01-11,61.000000,62.100000,60.560000,61.790000,30.895000,1186900,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
2010-01-12,61.630000,62.160000,60.810000,61.260000,30.630000,765500,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
2010-01-13,61.300000,62.310000,61.240000,62.170000,31.085000,391000,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
2010-01-14,61.970000,62.480000,61.830000,62.150000,31.075000,420100,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
2010-01-15,61.910000,62.020000,61.330000,61.660000,30.830000,462100,0.000000,1.000000,DVA,Common Stock,DaVita HealthCare Partners Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",https://www.davita.com,December,2025-03-31,10774257000,2659368000,14.14,2.009,-3.456,None,None,10.08,156.46,0.0663,0.134,0.0704,0.548,12968524000,4209319000,10.08,-0.245,0.05,159.15,0,1,8,0,1,14.14,13.26,0.831,21.63,1.741,8.48,1.109,179.6,131.76,140.13,152.36,75577000,38083000,49.511,48.759,None,None
