,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2017-02-01,62.380000,62.830000,61.690000,62.250000,51.468319,1463200,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
2017-02-02,62.040000,63.080000,61.600000,62.950000,52.047079,1424200,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
2017-02-03,65.450000,70.470000,65.010000,69.950000,57.834681,8638300,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
2017-02-06,69.950000,71.500000,69.810000,71.380000,59.017006,4419100,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
2017-02-07,71.450000,71.790000,70.560000,70.690000,58.446514,2674900,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
2017-02-08,70.640000,71.180000,70.330000,70.770000,58.512658,1736100,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
2017-02-09,70.370000,71.220000,70.280000,71.000000,58.702822,1424900,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
2017-02-10,71.090000,71.600000,70.790000,70.820000,58.553998,1117800,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
2017-02-13,71.300000,71.440000,70.290000,70.390000,58.198474,2193300,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
2017-02-14,69.960000,70.790000,69.610000,70.140000,57.991773,1318900,0.000000,1.000000,DXC,Common Stock,DXC Technology Co,DXC Technology is an American multinational corporation that provides business-to-business information technology services.,1688568,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"1775 TYSONS BOULEVARD, TYSONS, VA, US",https://dxc.com/us,March,2025-03-31,2952594000,1993000000,7.73,0.28,17.82,None,None,2.1,71.24,0.0302,0.117,0.0409,0.121,12871000000,3101000000,2.1,-0.617,-0.064,17.29,0,0,8,1,1,7.73,5.41,0.229,0.914,0.443,2.583,1.212,24.83,13.44,15.51,18.73,181810000,179999000,0.967,91.661,2020-04-14,2020-03-24
