,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,17.990000,18.235000,17.890000,18.150000,17.681578,3850500,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
2010-01-05,18.310000,18.870000,18.230000,18.660000,18.178416,6632500,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
2010-01-06,18.610000,18.650000,18.060000,18.180000,17.710804,5047300,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
2010-01-07,17.910000,18.070000,17.780000,18.040000,17.574417,5433200,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
2010-01-08,18.180000,18.450000,18.030000,18.400000,17.925126,4055600,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
2010-01-11,18.470000,18.700000,18.130000,18.270000,17.798481,6142400,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
2010-01-12,16.740000,17.140000,16.560000,16.850000,16.415129,31920900,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
2010-01-13,16.850000,17.220000,16.730000,17.170000,16.726871,14347600,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
2010-01-14,17.100000,17.340000,16.980000,17.180000,16.736613,9110400,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
2010-01-15,17.210000,17.290000,16.950000,17.030000,16.590484,9530400,0.000000,1.000000,EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",https://www.ea.com,March,2025-03-31,39040131000,1938000000,36.47,1.435,25.31,0.76,0.0048,4.26,28.48,0.15,0.211,0.0768,0.161,7463000000,5920000000,4.26,0.458,0.065,167.2,0,10,18,0,0,36.47,18.8,5.23,6.11,5.19,19.19,0.711,167.85,114.89,150.32,145.79,251272000,225258000,0.208,102.297,2025-06-18,2025-05-28
