,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,23.720000,23.980000,23.620000,23.900000,9.138673,9474600,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
2010-01-05,23.790000,23.900000,23.500000,23.650000,9.043080,11230300,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
2010-01-06,23.630000,23.800000,23.440000,23.500000,8.985724,11097900,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
2010-01-07,23.490000,23.490000,23.170000,23.230000,8.882484,10614500,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
2010-01-08,23.190000,23.640000,23.100000,23.510000,8.989548,12830000,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
2010-01-11,23.530000,23.750000,23.250000,23.450000,8.966606,7715100,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
2010-01-12,23.390000,23.440000,22.960000,23.190000,8.867189,10762700,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
2010-01-13,23.330000,23.630000,23.110000,23.600000,9.023962,10362200,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
2010-01-14,23.500000,23.500000,22.850000,22.880000,8.748654,17716400,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
2010-01-15,22.990000,23.060000,22.120000,22.470000,8.591882,27043900,0.000000,1.000000,EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",https://www.ebayinc.com,December,2025-03-31,35190047000,2575000000,18.36,1.935,10.69,1.1,0.0156,4.16,21.32,0.198,0.238,0.0696,0.365,10311999000,7409000000,4.16,0.245,0.011,67.34,4,5,20,2,2,18.36,14.31,3.413,7.11,3.644,12.71,1.261,79.84,51.25,73.05,66.95,460844000,459032000,0.286,100.031,2025-06-13,2025-05-30
