,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,35.070000,35.130000,34.700000,34.770000,20.099422,1931500,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
2010-01-05,34.680000,34.930000,34.360000,34.460000,19.920221,2485100,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
2010-01-06,34.490000,34.980000,34.380000,34.890000,20.168790,2673000,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
2010-01-07,34.800000,34.840000,34.540000,34.680000,20.047396,2059800,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
2010-01-08,34.590000,34.705000,34.280000,34.500000,19.943344,1560100,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
2010-01-11,34.610000,35.260000,34.610000,35.170000,20.330649,2939100,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
2010-01-12,35.040000,35.280000,34.940000,35.130000,20.307526,2237200,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
2010-01-13,35.160000,35.520000,35.050000,35.450000,20.492508,1535700,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
2010-01-14,35.350000,35.480000,35.160000,35.430000,20.480947,1443700,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
2010-01-15,35.740000,35.810000,34.910000,35.240000,20.371114,2461600,0.000000,1.000000,EIX,Common Stock,Edison International,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and unregulated non-utility business assets Edison Energy.",827052,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"2244 WALNUT GROVE AVE,, P O BOX 800, ROSEMEAD, CA, US",https://www.edison.com,December,2025-03-31,20219347000,6406000000,7.43,0.575,38.92,3.215,0.0641,7.07,44.9,0.158,0.235,0.028,0.15,17332001000,9178000000,7.07,-0.107,-0.065,69.14,3,11,4,1,0,7.43,8.69,1.167,1.35,3.468,7.27,0.783,86.39,47.73,54.19,66.5,384764000,383829000,0.197,89.517,2025-07-31,2025-07-07
