,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,58.690000,59.810000,58.380000,59.750000,48.291827,4641800,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
2010-01-05,60.590000,61.250000,60.170000,60.400000,48.817177,8385500,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
2010-01-06,60.120000,61.530000,60.120000,61.380000,49.609244,6449100,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
2010-01-07,61.680000,63.780000,61.230000,63.660000,51.452012,6028900,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
2010-01-08,63.590000,64.070000,63.010000,63.940000,51.678316,5270900,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
2010-01-11,64.280000,64.880000,63.870000,64.310000,51.977362,4369600,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
2010-01-12,63.800000,64.310000,62.630000,63.460000,51.290365,5813100,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
2010-01-13,63.760000,65.010000,63.470000,64.970000,52.510795,5555800,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
2010-01-14,64.950000,66.480000,64.680000,66.220000,53.521084,5137400,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
2010-01-15,66.340000,67.230000,65.620000,66.650000,53.868624,7040100,0.000000,1.000000,ELV,Common Stock,Elevance Health Inc,"Elevance Health Inc. is a health benefits company. The company is headquartered in Indianapolis, Indiana.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",https://www.elevancehealth.com,December,2025-03-31,78589231000,9835000000,13.53,0.628,188.37,6.6,0.0176,25.71,795.76,0.0323,0.0642,0.0493,0.142,183124001000,50790998000,25.71,0.002,0.148,500.75,5,13,4,0,0,13.53,10.11,0.429,1.849,0.552,-,0.617,558.44,347.21,391.22,413.8,225935000,225424000,0.170,93.067,2025-06-25,2025-06-10
