,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,61.500000,61.930000,60.860000,61.750000,20.188059,723200,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
2010-01-05,61.860000,62.100000,60.370000,60.960000,19.929782,1134900,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
2010-01-06,60.910000,61.980000,59.970000,60.550000,19.795740,1549500,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
2010-01-07,60.320000,61.200000,60.130000,60.700000,19.844780,538100,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
2010-01-08,60.450000,60.950000,60.170000,60.860000,19.897089,426700,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
2010-01-11,61.330000,61.480000,60.560000,60.890000,19.906897,427800,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
2010-01-12,60.050000,60.385000,59.430000,60.250000,19.697661,1036800,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
2010-01-13,60.330000,61.880000,59.990000,61.580000,20.132480,743000,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
2010-01-14,61.360000,61.840000,60.500000,60.700000,19.844780,618600,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
2010-01-15,60.630000,60.900000,59.850000,60.420000,19.753239,650100,0.000000,1.000000,EMN,Common Stock,Eastman Chemical Company,"Eastman Chemical Company is an American company primarily involved in the chemical industry. Once a subsidiary of Kodak, today it is an independent global specialty materials company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes. The company is headquartered in Kingsport, Tennessee.",915389,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","PO BOX 511, 200 SOUTH WILCOX DRIVE, KINGSPORT, TN, US",https://www.eastman.com,December,2025-03-31,9187152000,1923000000,10.14,2.019,50.87,3.28,0.0445,7.85,80.6,0.0985,0.139,0.0595,0.16,9362000000,2332000000,7.85,0.13,-0.009,97.39,3,10,6,0,0,10.14,10.91,0.981,1.565,1.473,7.49,1.264,111.31,70.15,78.58,92.69,115460000,114439000,0.756,93.193,2025-07-08,2025-06-13
