,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,5.350000,5.450000,5.200000,5.400000,5.187116,790500,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
2010-01-05,5.380000,5.380000,5.280000,5.280000,5.071846,1468700,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
2010-01-06,5.250000,5.390000,5.030000,5.190000,4.985394,2180300,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
2010-01-07,5.200000,5.300000,5.030000,5.230000,5.023817,802300,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
2010-01-08,5.200000,5.280000,5.160000,5.230000,5.023817,540800,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
2010-01-11,5.270000,5.280000,5.110000,5.140000,4.937366,865400,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
2010-01-12,5.110000,5.160000,4.840000,4.860000,4.668404,995200,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
2010-01-13,4.880000,5.000000,4.770000,4.970000,4.774067,796400,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
2010-01-14,4.930000,5.050000,4.860000,5.020000,4.822096,468700,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
2010-01-15,5.050000,5.110000,4.800000,4.860000,4.668404,724000,0.000000,1.000000,ENTG,Common Stock,Entegris Inc,"Entegris, Inc. develops, manufactures and supplies micro-pollution control products, specialty chemicals, and advanced material handling solutions for manufacturing processes in the semiconductor industry and other high-tech industries in North America, Taiwan, South Korea. , Japan, China, Europe and Southeast Asia. The company is headquartered in Billerica, Massachusetts.",1101302,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","129 CONCORD ROAD, BILLERICA, MA, US",https://www.entegris.com,December,2025-03-31,13117296000,920996000,42.47,1.69,24.78,0.4,0.005,2.04,21.45,0.0957,0.161,0.0404,0.0865,3243408000,1491419000,2.04,0.367,0.003,99.85,3,5,1,0,0,42.47,30.12,4.044,3.498,5.19,18.06,1.243,146.98,60.67,77.85,95.02,151400000,150847000,0.280,114.802,2025-05-21,2025-04-30
