,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,16.130000,16.290000,15.380000,16.040000,11.826139,1122000,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-05,16.040000,16.070000,15.520000,15.790000,11.641816,758900,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-06,15.790000,16.170000,15.630000,16.060000,11.840885,946700,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-07,16.080000,16.985000,15.920000,16.850000,12.423344,897400,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-08,16.050000,16.540000,15.800000,16.380000,12.076818,1075500,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-11,16.450000,16.450000,15.690000,15.710000,11.582833,897300,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-12,15.520000,15.730000,15.140000,15.490000,11.420629,904500,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-13,15.560000,16.075000,15.390000,15.960000,11.767156,482900,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-14,15.840000,16.657000,15.800000,16.580000,12.224276,608600,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-15,16.630000,16.790000,15.890000,16.240000,11.973597,1134200,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-19,16.550000,16.810000,16.260000,16.810000,12.393853,707200,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-20,16.650000,16.950000,15.930000,16.650000,12.275886,862900,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-21,16.650000,17.380000,16.440000,17.250000,12.718260,1303300,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-22,17.140000,18.350000,16.960000,17.410000,12.836227,2240100,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-25,17.620000,17.620000,16.850000,17.430000,12.850973,1016700,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-26,17.310000,18.000000,17.070000,17.180000,12.666650,1427300,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-27,17.020000,18.160000,17.000000,18.000000,13.271228,1470900,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-28,17.750000,17.900000,16.150000,16.790000,12.379107,2583400,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-01-29,17.000000,17.430000,16.290000,16.430000,12.113682,1162900,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-02-01,16.620000,16.770000,16.090000,16.580000,12.224276,1225900,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-02-02,16.550000,16.650000,16.250000,16.490000,12.157920,628200,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
2010-02-03,16.430000,16.530000,15.610000,16.170000,11.921987,931000,0.000000,1.000000,EWBC,Common Stock,East West Bancorp Inc,"East West Bancorp, Inc. is the banking holding company for East West Bank providing a range of personal and commercial banking services to businesses and individuals in the United States and Greater China. The company is headquartered in Pasadena, California.",1069157,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"135 N. LOS ROBLES AVE. 7TH FLOOR, PASADENA, CA, US",https://www.eastwestbank.com,December,2025-03-31,15005007000,None,12.99,5.58,57.54,2.25,0.0238,8.38,17.37,0.486,0.64,0.0159,0.157,2407834000,2407834000,8.38,0.025,0.037,103.23,2,6,5,0,0,12.99,12.52,6.23,1.892,6.95,-,0.912,112.5,67.8,93.21,93.58,137825000,136331000,1.058,93.520,2025-05-16,2025-05-02
