,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2021-02-10,43.000000,50.000000,43.000000,44.990000,36.588792,1836935,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
2021-02-11,45.470000,45.470000,42.750000,42.800000,34.807741,1652123,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
2021-02-12,43.010000,43.500000,41.550000,42.510000,34.571894,2088188,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
2021-02-16,44.200000,45.540000,43.010000,43.550000,35.417690,1369097,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
2021-02-17,44.030000,44.600000,43.500000,44.260000,35.995108,1909851,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
2021-02-18,44.240000,45.000000,42.780000,43.000000,34.970394,1589465,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
2021-02-19,43.660000,44.630000,43.010000,44.000000,35.783659,1048177,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
2021-02-22,44.840000,45.030000,43.650000,43.840000,35.653537,1449307,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
2021-02-23,43.950000,43.950000,42.000000,43.660000,35.507149,888492,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
2021-02-24,43.240000,45.080000,42.640000,45.000000,36.596924,3153182,0.000000,1.000000,EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation is an independent exploration and production company in the United States. The company is headquartered in Oklahoma City, Oklahoma.",895126,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"6100 N WESTERN AVE, OKLAHOMA CITY, OK, US",https://www.expandenergy.com,December,2024-09-30,24341447000,1656000000,64.62,17.62,75.41,2.44,0.0218,1.63,24.99,0.0772,-0.305,0.0083,0.0248,3291000000,1142000000,1.63,0,-0.573,118.8,10,15,2,0,0,64.62,17.61,7.4,2.389,6.29,13.58,0.508,123.34,67.71,101.21,88.0,231097000,224210000,3.019,98.798,2024-12-04,2024-11-14
