,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-05-28,19.300000,19.570000,18.990000,19.420000,12.559802,780200,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-01,19.380000,19.480000,18.740000,18.740000,12.120015,654900,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-02,15.045000,15.740000,13.840000,14.480000,9.364878,3494500,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-03,14.520000,14.640000,13.780000,13.830000,8.944493,1937700,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-04,13.820000,13.880000,13.210000,13.730000,8.879819,1646000,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-07,13.800000,13.940000,13.480000,13.570000,8.776339,1138600,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-08,13.600000,13.750000,13.250000,13.510000,8.737535,1763500,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-09,13.600000,13.650000,12.940000,12.990000,8.401227,1753500,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-10,12.900000,13.100000,12.030000,12.310000,7.961440,3345500,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-11,12.270000,13.250000,12.150000,13.110000,8.478836,1745200,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-14,13.330000,13.680000,13.160000,13.330000,8.621120,1590400,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-15,13.320000,13.600000,13.130000,13.210000,8.543511,1301900,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-16,13.040000,13.510000,12.770000,13.420000,8.679328,1247500,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-17,13.590000,13.590000,13.270000,13.490000,8.724600,677500,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-18,13.510000,13.700000,13.340000,13.480000,8.718132,1572400,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-21,13.600000,13.620000,13.280000,13.290000,8.595251,1053600,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-22,13.200000,13.620000,12.970000,13.430000,8.685795,875000,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-23,13.130000,13.600000,12.860000,13.390000,8.659925,1170700,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-24,13.200000,13.440000,13.080000,13.260000,8.575848,1104500,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-25,13.270000,13.710000,13.010000,13.670000,8.841014,5082800,0.000000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
2010-06-28,13.540000,13.540000,13.160000,13.380000,8.692263,261200,0.060000,1.000000,FAF,Common Stock,First American Corporation,"First American Financial Corporation, provides financial services. The company is headquartered in Santa Ana, California.",1472787,NYSE,USD,USA,FINANCE,TITLE INSURANCE,"1 FIRST AMERICAN WAY, SANTA ANA, CA, US",https://www.firstam.com,December,2025-03-31,6508425000,564000000,41.61,2.04,48.64,2.15,0.0352,1.52,60.54,0.0252,0.0833,0.0147,0.0326,6285800000,3842900000,1.52,0.583,0.111,77,1,3,1,0,0,41.61,9.38,1.035,1.297,1.101,-,1.246,69.1,50.63,59.14,62.82,102900000,99051000,3.686,91.023,2025-06-16,2025-06-09
