,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,12.530000,12.730000,12.430000,12.720000,10.831895,108500,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
2010-01-05,12.740000,12.740000,12.430000,12.580000,10.712676,162300,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
2010-01-06,12.600000,12.880000,12.520000,12.770000,10.874473,346300,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
2010-01-07,12.780000,13.250000,12.730000,13.240000,11.274708,187100,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
2010-01-08,13.160000,13.340000,13.112000,13.160000,11.206583,178500,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
2010-01-11,13.220000,13.220000,12.930000,12.980000,11.053301,141100,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
2010-01-12,12.930000,13.020000,12.700000,12.960000,11.036270,83300,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
2010-01-13,12.970000,13.100000,12.910000,12.990000,11.061817,223000,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
2010-01-14,13.010000,13.290000,12.810000,13.260000,11.291739,138300,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
2010-01-15,13.290000,13.300000,12.710000,13.090000,11.146973,256200,0.000000,1.000000,FIX,Common Stock,Comfort Systems USA Inc,"Comfort Systems USA, Inc. provides mechanical and electrical installation, renovation, maintenance, repair and replacement services for the mechanical and electrical service industry in the United States. The company is headquartered in Houston, Texas.",1035983,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"675 BERING DRIVE, SUITE 400, HOUSTON, TX, US",https://comfortsystemsusa.com,December,2025-03-31,19082961000,964684000,32.47,2.06,50.44,1.35,0.0034,16.66,205.46,0.0813,0.114,0.121,0.378,7321746000,1582464000,16.66,0.766,0.191,531.68,0,6,1,0,0,32.47,30.96,2.606,10.74,2.616,21.26,1.504,551.87,271.85,471.63,425.38,35274800,34686200,1.481,98.294,2025-05-27,2025-05-16
