,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2014-11-07,19.750000,20.450000,18.503200,19.110000,19.110000,9931798,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-10,19.100000,19.190000,18.080000,18.420000,18.420000,856040,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-11,18.500000,19.370000,17.000000,18.510000,18.510000,596284,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-12,18.060000,18.510000,18.000000,18.300000,18.300000,183230,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-13,18.050000,18.990000,18.050000,18.210000,18.210000,325871,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-14,18.500000,19.080000,18.250000,18.840000,18.840000,274044,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-17,19.190000,19.490000,18.530000,19.200000,19.200000,295392,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-18,19.100000,20.299000,19.100000,19.450000,19.450000,338735,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-19,19.100000,19.550000,18.600000,18.700000,18.700000,209075,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-20,18.650000,18.650000,17.300000,17.590000,17.590000,632421,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-21,17.600000,18.180000,17.060100,17.200000,17.200000,230398,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-24,17.110000,17.850000,16.590000,17.660000,17.660000,381254,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-25,17.490000,17.930000,17.420000,17.800000,17.800000,438621,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-26,17.680000,17.680000,17.000000,17.090000,17.090000,355750,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-11-28,16.910000,16.910000,16.387800,16.710000,16.710000,266351,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-01,16.730000,16.760000,15.800000,16.730000,16.730000,661928,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-02,17.000000,17.950000,16.773200,17.230000,17.230000,1310900,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-03,17.530000,17.710000,17.000000,17.180000,17.180000,383643,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-04,17.240000,17.757500,16.526000,17.000000,17.000000,1017461,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-05,17.030000,17.260000,16.560000,16.880000,16.880000,1117433,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-08,16.600000,18.480000,16.522400,17.370000,17.370000,1120520,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-09,17.500000,17.590000,16.890000,17.480000,17.480000,903481,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-10,16.500000,18.820000,16.400000,18.520000,18.520000,1682489,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-11,18.650000,18.900000,17.565000,18.020000,18.020000,1070629,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-12,17.860000,18.000000,16.885000,17.140000,17.140000,737958,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-15,16.880000,17.580000,16.750000,16.930000,16.930000,892127,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-16,16.580000,17.300000,16.580000,16.950000,16.950000,725685,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-17,17.060000,18.020000,15.800000,16.450000,16.450000,593109,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-18,16.690000,16.920000,16.170000,16.220000,16.220000,575467,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
2014-12-19,16.060000,16.180000,14.610000,15.010000,15.010000,2839855,0.000000,1.000000,FRPT,Common Stock,Freshpet Inc,"Freshpet, Inc. manufactures and markets fresh natural cat and dog food and treats in the United States, Canada and the United Kingdom. The company is headquartered in Secaucus, New Jersey.",1611647,NASDAQ,USD,USA,MANUFACTURING,GRAIN MILL PRODUCTS,"400 PLAZA DRIVE, 1ST FLOOR, SECAUCUS, NJ, US",https://www.freshpet.com,December,2025-03-31,3501708000,115144000,239.3,1.768,21.52,None,None,0.3,20.88,0.0154,0.0213,0.0146,0.0154,1014577000,411586000,0.3,0.167,0.176,109.06,2,11,6,0,0,239.3,76.92,3.451,3.337,3.635,33.99,1.859,164.07,67.03,77.44,116.29,48777100,47725500,2.163,122.130,None,None
