,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,17.880000,18.200000,17.630100,18.000000,1.800000,358000,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
2010-01-05,18.030000,18.600000,18.000000,18.390000,1.839000,411400,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
2010-01-06,18.880000,19.850000,18.800100,19.410000,1.941000,936700,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
2010-01-07,19.530000,19.610000,19.000000,19.450000,1.945000,137600,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
2010-01-08,19.550000,20.590000,19.220000,20.110000,2.011000,457100,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
2010-01-11,20.250000,20.250000,19.690000,20.050000,2.005000,187900,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
2010-01-12,19.890000,20.240000,19.690000,19.790000,1.979000,473700,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
2010-01-13,19.760000,19.880000,18.410000,19.440000,1.944000,390900,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
2010-01-14,19.460000,20.070000,19.250000,19.900000,1.990000,353400,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
2010-01-15,19.960000,19.960000,19.150000,19.630000,1.963000,325500,0.000000,1.000000,FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",https://www.fortinet.com,December,2025-03-31,80873857000,2056200000,43.48,2.95,2.552,None,None,2.43,8.02,0.306,0.291,0.133,2.059,6142200000,4996200000,2.43,0.436,0.138,108.25,7,9,27,2,0,43.48,42.73,13.17,41.2,12.55,32.36,1.072,114.82,54.57,103.03,95.92,765416000,647611000,16.969,71.616,None,None
