,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,20.730000,20.730000,20.450000,20.540000,13.033925,9185600,0.085000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
2010-01-05,20.600000,21.060000,20.470000,20.790000,13.192566,18297100,0.000000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
2010-01-06,20.700000,21.080000,20.580000,21.040000,13.351206,15155100,0.000000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
2010-01-07,21.390000,21.390000,19.960000,20.270000,12.862593,24846500,0.000000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
2010-01-08,20.300000,20.450000,20.080000,20.400000,12.945086,10904100,0.000000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
2010-01-11,20.510000,20.660000,20.270000,20.620000,13.084690,8764900,0.000000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
2010-01-12,20.090000,20.330000,19.750000,19.960000,12.665878,14531200,0.000000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
2010-01-13,20.060000,20.060000,19.870000,19.980000,12.678570,10162700,0.000000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
2010-01-14,20.080000,20.100000,19.620000,19.740000,12.526274,10180300,0.000000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
2010-01-15,19.790000,19.890000,19.560000,19.560000,12.412053,8116600,0.000000,1.000000,GAP,Common Stock,"The Gap, Inc.",None,39911,NYSE,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"TWO FOLSOM STREET, SAN FRANCISCO, CA, US",https://www.gapinc.com,January,2025-04-30,7782157000,1667000000,9.07,1.762,8.88,0.615,0.0316,2.3,40.3,0.058,0.0751,0.0651,0.292,15161000000,6278000000,2.3,0.244,0.022,26.68,5,4,11,0,0,9.07,9.46,0.513,2.343,0.729,6.21,2.171,29.29,16.83,22.55,22.42,373066000,193655000,39.422,64.373,2025-07-30,2025-07-09
