,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2014-07-18,12.950000,12.990000,11.000000,11.250000,11.250000,4147881,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-07-21,11.600000,11.970000,11.500000,11.510000,11.510000,256102,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-07-22,11.510000,11.750000,10.950000,11.440000,11.440000,185358,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-07-23,11.380000,11.500000,11.000000,11.020000,11.020000,100116,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-07-24,11.000000,11.190000,10.990000,10.990000,10.990000,139357,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-07-25,10.860000,11.050000,10.670000,10.670000,10.670000,79306,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-07-28,10.650000,11.220000,10.650000,11.150000,11.150000,87659,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-07-29,11.210000,11.569300,11.160000,11.420000,11.420000,98783,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-07-30,11.500000,11.500100,11.280000,11.470000,11.470000,69050,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-07-31,11.310000,11.470000,10.970100,11.320000,11.320000,130240,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-08-01,11.300000,11.570000,11.300000,11.420000,11.420000,59244,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
2014-08-04,11.550000,11.899900,11.490000,11.740000,11.740000,47274,0.000000,1.000000,GLOB,Common Stock,Globant SA,"Globant SA is a global technology services company. The company is headquartered in Luxembourg, Luxembourg.",1557860,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"37A AVENUE J.F. KENNEDY, N/A, LU",https://www.globant.com,December,2025-03-31,4040605000,380008000,27.14,1.834,46.55,None,None,3.38,56.27,0.0616,0.0923,0.0535,0.0791,2455696000,886939000,3.38,-0.333,0.07,136.96,6,8,10,0,0,27.14,15.04,1.645,1.97,1.757,19.3,1.238,238.32,86.02,105.86,168.81,44053700,39788800,2.198,100.251,None,None
