,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2013-10-14,41.000000,42.000000,40.250000,41.200000,14.510913,316000,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
2013-10-15,41.200000,41.300000,41.100000,41.200000,14.510913,182000,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
2013-10-16,41.400000,41.400000,41.100000,41.270000,14.535568,763600,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
2013-10-17,44.830000,44.830000,41.030000,43.230000,15.225893,1396200,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
2013-10-18,43.750000,44.510000,42.650000,44.300000,15.602754,558400,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
2013-10-21,44.010000,44.280000,43.550000,44.200000,15.567533,316800,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
2013-10-22,44.020000,44.680000,43.440000,44.550000,15.690805,1508500,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
2013-10-23,42.960000,44.150000,41.700000,43.660000,15.377341,988400,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
2013-10-24,43.600000,44.130000,43.410000,43.840000,15.440739,964100,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
2013-10-25,44.290000,44.740000,43.640000,44.420000,15.645019,581400,0.000000,1.000000,GLPI,Common Stock,Gaming & Leisure Properties,None,1575965,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"845 BERKSHIRE BLVD, SUITE 200, WYOMISSING, PA, US",https://www.glpropinc.com,December,2025-03-31,13249698000,1402066000,17.04,8.08,15.34,3.04,0.0668,2.83,5.67,0.5,0.655,0.059,0.176,1550817000,1448200000,2.83,-0.065,0.051,55.02,4,11,8,0,1,17.04,13.46,8.54,3.143,13.07,14.1,0.735,50.6,41.79,46.92,48.93,274833000,262746000,4.296,95.773,2025-06-27,2025-06-13
