,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,22.070000,22.950000,22.000000,22.900000,3.846188,6675700,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-05,22.910000,23.740000,22.900000,23.520000,3.950320,5317400,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-06,23.460000,24.100000,23.220000,24.030000,4.035978,5367800,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-07,20.010000,21.170000,19.420000,20.460000,3.436375,41190300,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-08,20.640000,21.230000,20.230000,20.290000,3.407823,11968100,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-11,20.540000,20.590000,20.110000,20.320000,3.412862,7021300,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-12,20.660000,20.800000,20.300000,20.770000,3.488442,7121500,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-13,20.830000,20.900000,20.620000,20.790000,3.491801,4446900,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-14,20.720000,20.830000,20.390000,20.500000,3.443094,6771900,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-15,20.490000,20.670000,20.410000,20.500000,3.443094,6128800,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-19,20.650000,20.810000,20.400000,20.810000,3.495160,4101700,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-20,20.650000,20.770000,20.390000,20.510000,3.444773,4074200,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-21,20.430000,20.650000,20.330000,20.420000,3.429657,4426000,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-22,20.420000,20.440000,19.980000,20.030000,3.364154,3384400,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-25,20.120000,20.290000,19.900000,19.930000,3.347359,3506600,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-26,19.830000,20.050000,19.520000,19.640000,3.298652,6250600,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-27,19.670000,20.010000,19.500000,19.940000,3.349038,6569000,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-28,20.010000,20.010000,19.750000,19.860000,3.335602,4298200,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-01-29,19.940000,20.040000,19.720000,19.770000,3.320486,4526900,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-01,19.980000,20.070000,19.661000,19.930000,3.347359,5728600,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-02,19.940000,20.300000,19.860000,20.230000,3.397746,4298300,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-03,20.270000,20.570000,20.060000,20.510000,3.444773,3253000,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-04,20.360000,20.420000,19.965000,20.100000,3.375911,5044600,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-05,20.170000,20.310000,19.880000,20.150000,3.384309,3281800,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-08,20.140000,20.140000,19.670000,19.690000,3.307049,4155600,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-09,18.980000,19.150000,18.270000,18.820000,3.160928,11024100,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-10,18.820000,19.300000,18.790000,19.170000,3.219712,5620400,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-11,19.190000,19.520000,19.130000,19.360000,3.251624,4236100,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-12,19.230000,19.260000,18.800000,19.170000,3.219712,4913700,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-16,19.180000,19.250000,18.850000,18.990000,3.189480,3780200,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-17,18.960000,19.320000,18.950000,19.280000,3.238188,3058800,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-18,19.230000,19.500000,19.110000,19.420000,3.261701,2295800,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
2010-02-19,19.330000,19.440000,19.230000,19.310000,3.243226,2986700,0.000000,1.000000,GME,Common Stock,GameStop Corp,"GameStop Corp. The company is headquartered in Grapevine, Texas.",1326380,NYSE,USD,USA,TRADE & SERVICES,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"625 WESTPORT PARKWAY, GRAPEVINE, TX, US",https://www.gamestop.com,January,2025-04-30,10552656000,85600000,44.51,0.86,11.15,None,None,0.53,8.55,0.0567,0.0337,0.0072,0.0662,3673600000,1122200000,0.53,0.458,-0.169,13.5,-,-,-,-,-,44.51,36.76,2.873,2.116,1.614,68.54,-0.652,35.81,18.73,27.15,25.91,447336000,408499000,8.605,34.555,2018-06-26,2019-03-14
